,comment_sentence,partition,category
684,param flag value which value should be used for this flag if it s,0,Parameters
685,url pointing to a file on the web.,0,Parameters
686,param multiple if this is set to true then the argument is accepted,0,Parameters
687,losses are averaged or summed over observations for each minibatch depending,0,Parameters
688,only used if data is a dataframe.,0,Parameters
689,"param exists if set to true, the file or directory needs to exist for",0,Parameters
690,each list item is of class class requesthistory .,0,Parameters
691,param help the help string.,0,Parameters
692,logits tensor event log probabilities,0,Parameters
693,param file okay controls if a file is a possible value.,0,Parameters
694,several attributes affect behavior at various steps along the way,0,Parameters
695,this is used to,0,Parameters
696,table.,0,Parameters
697,"a tuple of three ints in which case, the first int is used for the depth dimension,",0,Parameters
698,statements.,0,Parameters
699,can be set to none for cumulative moving average,0,Parameters
700,useful to pass to nn^maxunpool3d.,0,Parameters
701,eps a value added to the denominator for numerical stability.,0,Parameters
702,"amsgrad boolean, optional whether to use the amsgrad variant of this",0,Parameters
703,position float,0,Parameters
704,"getitem , contains .",0,Parameters
705,here are the possible initialization parameters,0,Parameters
706,specify relative alignments for bar plot layout.,0,Parameters
707,param int redirect,0,Parameters
708,param prompt if set to true or a non empty string then the user will be,0,Parameters
709,if status falls in status forcelist range and retries have,0,Parameters
710,none mean sum .,0,Parameters
711,param dir okay controls if a directory is a possible value.,0,Parameters
712,n or r n .,0,Parameters
713,equivalent to yerr.,0,Parameters
714,max iter int maximal number of iterations per optimization step,0,Parameters
715,only required when data parameter is being used as an array,0,Parameters
716,kind str,0,Parameters
717,"true, print each item in the list above the corresponding subplot.",0,Parameters
718,see also ref line statements .,0,Parameters
719,"keys can be bare unquoted , or quoted using basic , or literal",0,Parameters
720,newline sequence,0,Parameters
721,"padding int, tuple the size of the padding.",0,Parameters
722,"d, h and w can be either a int , or none which means the size will",0,Parameters
723,a set of integer http status codes that we should force a retry on.,0,Parameters
724,font size for xticks and yticks.,0,Parameters
725,this requires,0,Parameters
726,values numpy^ndarray,0,Parameters
727,before the value is passed onwards.,0,Parameters
728,string containing the filename,0,Parameters
729,takes precedence over other counts.,0,Parameters
730,exp range a cycle that scales initial amplitude by math text gamma ^ text cycle iterations,0,Parameters
731,"colorbar bool, optional",0,Parameters
732,modifications on attr parent must not,0,Parameters
733,"mode string, optional sum , mean or max .",0,Parameters
734,a callable that can be used to process the result of a variable,0,Parameters
735,dropout the dropout value default 01 .,0,Parameters
736,logy bool or sym default false,0,Parameters
737,"track running stats a boolean value that when set to true , this",0,Parameters
738,line line plot default,0,Parameters
739,the array of data.,0,Parameters
740,mean the sum of the output will be divided by the number of,0,Parameters
741,as strings or extension classes.,0,Parameters
742,sources may change ie file system or database .,0,Parameters
743,title str or list,0,Parameters
744,momentum the value used for the running mean and running var,0,Parameters
745,class matplotlib^axes.axes or numpy^ndarray of them,0,Parameters
746,"by default, this is disabled with none .",0,Parameters
747,limit this to avoid infinite redirect,0,Parameters
748,of squared gradients default 09,0,Parameters
749,the string marking the beginning of a print statement.,0,Parameters
750,it s a good idea to set this to some sensibly high value to,0,Parameters
751,the losses are averaged over each loss element in the batch.,0,Parameters
752,this value to be valid.,0,Parameters
753,"name object, optional",0,Parameters
754,param bool respect retry after header,0,Parameters
755,"padding int or tuple, optional zero padding added to all three sides of the input.",0,Parameters
756,"reduce bool, optional deprecated see attr reduction .",0,Parameters
757,each variable definition expects three values,0,Parameters
758,this may,0,Parameters
759,set to false to disable and imply raise on redirect false .,0,Parameters
760,cmake build type env str the value of os^environ cmake build type .,0,Parameters
761,"alternatively, to",0,Parameters
762,a list of intermediate templatedoesnotexist exceptions.,0,Parameters
763,this is particularly useful for dynamic options.,0,Parameters
764,default true,0,Parameters
765,"param bool raise on redirect whether, if the number of redirects is",0,Parameters
766,"max norm float, optional if given, each embedding vector with norm larger than attr max norm",0,Parameters
767,d model the number of expected features in the input required .,0,Parameters
768,obj series,0,Parameters
769,preserve the trailing newline when rendering templates.,0,Parameters
770,account for unexpected edge cases and avoid infinite retry loops.,0,Parameters
771,"if a string is passed, print the string",0,Parameters
772,multiple times and recorded.,0,Parameters
773,auto detection.,0,Parameters
774,"these are errors raised before the request is sent to the remote server,",0,Parameters
775,backend,0,Parameters
776,default is false .,0,Parameters
777,"keep first , last , default first",0,Parameters
778,they are not shared and if no template was loaded so far.,0,Parameters
779,the option string contains a slash to mark two options.,0,Parameters
780,"norm type float, optional the p of the p norm to compute for the attr max norm option.",0,Parameters
781,this means,0,Parameters
782,"sum computes the weighted sum, taking attr per sample weights",0,Parameters
783,"xerr dataframe, series, array like, dict and str",0,Parameters
784,the default is none which,0,Parameters
785,"if a string or path object, expected to be a path to xls, xlsx or odf file.",0,Parameters
786,running averages of gradient and its square,0,Parameters
787,"dampening float, optional dampening for momentum default 0",0,Parameters
788,instances of this class may be modified if,0,Parameters
789,specifies the way to reduce the bag.,0,Parameters
790,class for creating enumerated choices.,0,Parameters
791,will be the object returned by the backend.,0,Parameters
792,whether to respect retry after header on status codes defined as,0,Parameters
793,308.,0,Parameters
794,"if true, boolean values can be plotted.",0,Parameters
795,triangular a basic triangular cycle without amplitude scaling.,0,Parameters
796,param int status,0,Parameters
797,a data type sanity check,0,Parameters
798,"the parameters attr kernel size , attr stride , attr padding , attr dilation can either be",0,Parameters
799,"a single int in which case the same value is used for the depth, height and width dimension",0,Parameters
800,"rotation for ticks xticks for vertical, yticks for horizontal",0,Parameters
801,silently skipped.,0,Parameters
802,audio are never normalized.,0,Parameters
803,area area plot,0,Parameters
804,"whether we should raise an exception, or return a response,",0,Parameters
805,numpy 1d array containing the desired waveform mono,0,Parameters
806,"attr stride is an int or a tuple of length 1, their values will be",0,Parameters
807,set to none to remove this constraint and fall back on other,0,Parameters
808,backoff factor 2 number of total retries 1,0,Parameters
809,template code only.,0,Parameters
810,stride of elements within the,0,Parameters
811,urllib3 will sleep for,0,Parameters
812,this is similar to nargs,0,Parameters
813,lr float learning rate,0,Parameters
814,the values of the categorical.,0,Parameters
815,"backend str, default none",0,Parameters
816,"it is harder to describe, but this link has a nice visualization of what attr dilation does.",0,Parameters
817,versionchanged 28,0,Parameters
818,"shape nchan, nsamples .",0,Parameters
819,if set to true the xml html autoescaping feature is enabled by,0,Parameters
820,versionchanged 24,0,Parameters
821,param bool raise on status similar meaning to raise on redirect,0,Parameters
822,trim blocks,0,Parameters
823,step default max iter 125 .,0,Parameters
824,categorical will be unordered.,0,Parameters
825,none implicitly into an empty string here.,0,Parameters
826,attr retry^retry after status codes or not.,0,Parameters
827,value.,0,Parameters
828,bytestring containing raw pcm data or,0,Parameters
829,"table bool, series or dataframe, default false",0,Parameters
830,"currently, this expects an object dtype ndarray",0,Parameters
831,"dtype categoricaldtype or category , optional",0,Parameters
832,a 1 d boolean dtype array indicating missing values.,0,Parameters
833,versionadded 22,0,Parameters
834,"yerr dataframe, series, array like, dict and str",0,Parameters
835,param headers dictionary of headers to send.,0,Parameters
836,whether to copy the values and mask arrays.,0,Parameters
837,num embeddings int size of the dictionary of embeddings,0,Parameters
838,"stride int or tuple, optional the stride of the sliding blocks in the input",0,Parameters
839,in channels int number of channels in the input image,0,Parameters
840,default 1e 5,0,Parameters
841,"if a 6 tuple , uses",0,Parameters
842,per default this is 400 which means,0,Parameters
843,comments.,0,Parameters
844,"run before a list of tuples of app path, migration name",0,Parameters
845,each call to meth retry^increment .,0,Parameters
846,the requests occurred.,0,Parameters
847,"lr float, optional learning rate default 2e 3",0,Parameters
848,note that odf reads tables out of opendocument formatted files.,0,Parameters
849,indicating a redirect is returned before firing off the redirected,0,Parameters
850,ie simple average .,0,Parameters
851,template filters and global functions marked as,0,Parameters
852,context.,0,Parameters
853,supposed to be done by the shell only.,0,Parameters
854,embed boolean,0,Parameters
855,"if io is not a buffer or path, this must be set to identify io.",0,Parameters
856,the unnamed macro as caller argument this node holds.,0,Parameters
857,counts.,0,Parameters
858,supported when mode max .,0,Parameters
859,whether or not this categorical is treated as an ordered,0,Parameters
860,"normally, environment variables",0,Parameters
861,"by default,",0,Parameters
862,the path type is similar to the class file type but it performs,0,Parameters
863,loader,0,Parameters
864,sequence of headers to remove from the request when a response,0,Parameters
865,"must be unique, and must not contain any nulls.",0,Parameters
866,each entry is an instance of item class .,0,Parameters
867,the string marking the end of a print statement.,0,Parameters
868,class undefined object for missing variables.,0,Parameters
869,"if the backend is not the default matplotlib one, the return value",0,Parameters
870,param allow from autoenv if this is enabled then the value of this,0,Parameters
871,"math n, c, l or math l from input of size math n, l",0,Parameters
872,line search fn str either strong wolfe or none default none .,0,Parameters
873,the sampling rate of the raw data.,0,Parameters
874,"lr float, optional coefficient that scale delta before it is applied",0,Parameters
875,nordered series,0,Parameters
876,"pos weight tensor, optional a weight of positive examples.",0,Parameters
877,happen and modifications on attr vars are allowed from generated,0,Parameters
878,padding in all boundaries.,0,Parameters
879,a url to download the data from.,0,Parameters
880,"weight decay float, optional weight decay l2 penalty default 0",0,Parameters
881,parameters,0,Parameters
882,hexbin hexbin plot.,0,Parameters
883,enable async,0,Parameters
884,if the field attr size average,0,Parameters
885,it will never be longer,0,Parameters
886,"lr float, optional learning rate default 1e 3",0,Parameters
887,triangular2 a basic triangular cycle that scales initial amplitude by half each cycle.,0,Parameters
888,"list of tuples key, value is provided, form encoding will",0,Parameters
889,should be used with an empty list or dictionary as a default value.,0,Parameters
890,be the same as that of the input.,0,Parameters
891,max eval int maximal number of function evaluations per optimization,0,Parameters
892,how many times to retry on bad status codes.,0,Parameters
893,labels with right in the legend.,0,Parameters
894,default is true .,0,Parameters
895,yticks sequence,0,Parameters
896,"a file like object, xlrd workbook or openpypl workbook.",0,Parameters
897,"stride int or tuple, optional stride of the convolution.",0,Parameters
898,"subtype str, np^dtype",0,Parameters
899,history size int update history size default 100 .,0,Parameters
900,set of uppercased http method verbs that we should retry on.,0,Parameters
901,status forcelist .,0,Parameters
902,if set to true the prompt will be the,0,Parameters
903,the skipto is not a match,0,Parameters
904,"elements in the output, sum the output will be summed.",0,Parameters
905,"if the categories are not given here and also not in dtype , they",0,Parameters
906,called im2col .,0,Parameters
907,"groups int, optional number of blocked connections from input channels to output channels.",0,Parameters
908,xticks sequence,0,Parameters
909,disable that.,0,Parameters
910,"mark right bool, default true",0,Parameters
911,kernel size int or tuple size of the convolving kernel,0,Parameters
912,cache for the internal jinja bytecode so that templates don t,0,Parameters
913,"param hooks dictionary of callback hooks, for internal usage.",0,Parameters
914,versionadded 10.0,0,Parameters
915,at the top of the figure.,0,Parameters
916,for example one can convert,0,Parameters
917,from 0 left bottom end to 1 right top end .,0,Parameters
918,for higher performance it s possible to,0,Parameters
919,param headers,0,Parameters
920,from the start of a line to a block.,0,Parameters
921,place legend on axis subplots.,0,Parameters
922,numerical stability default 1e 6,0,Parameters
923,app registry.,0,Parameters
924,defaults to % .,0,Parameters
925,numerical stability default 1e 8,0,Parameters
926,false .,0,Parameters
927,numpy 2d array containing waveforms for each channel.,0,Parameters
928,"the attr padding , attr stride and attr dilation arguments specify",0,Parameters
929,"loglog bool or sym , default false",0,Parameters
930,"for instance, matplotlib .",0,Parameters
931,parts of the api may change without warning.,0,Parameters
932,"a boolean if true , entire django project will be checked for errors",0,Parameters
933,the string marking the beginning of a block.,0,Parameters
934,attr stride controls the stride for the cross correlation.,0,Parameters
935,this is useful for password,0,Parameters
936,if a dictionary or,0,Parameters
937,are not shown.,0,Parameters
938,how the sliding blocks are retrieved.,0,Parameters
939,both sides of input.,0,Parameters
940,1 the cache will not be cleaned.,0,Parameters
941,at each cycle iteration.,0,Parameters
942,the matplotlib line style per column.,0,Parameters
943,"rho float, optional coefficient used for computing a running average",0,Parameters
944,represent the path.,0,Parameters
945,a boolean indicating whether the command outputs sql,0,Parameters
946,set to 0 to fail on the first retry.,0,Parameters
947,df1 float or tensor degrees of freedom parameter 1,0,Parameters
948,how many redirects to perform.,0,Parameters
949,"removed block, not variable tag!",0,Parameters
950,comment start string,0,Parameters
951,accepted values zeros and circular default zeros,0,Parameters
952,where the elements are python strings.,0,Parameters
953,undefined,0,Parameters
954,the default is n which is a,0,Parameters
955,pie pie plot,0,Parameters
956,if this is set to true the first newline after a block is,0,Parameters
957,df2 float or tensor degrees of freedom parameter 2,0,Parameters
958,engines.,0,Parameters
959,default false .,0,Parameters
960,is the list of application s configuration provided by the,0,Parameters
961,use log scaling or symlog scaling on y axis.,0,Parameters
962,dependent.,0,Parameters
963,chain,0,Parameters
964,will be inferred from the data .,0,Parameters
965,the string marking the beginning of a comment.,0,Parameters
966,"must be one of r ,",0,Parameters
967,idempotent multiple requests with the same parameters end with the,0,Parameters
968,for more details about autoescaping see,0,Parameters
969,"size average bool, optional deprecated see attr reduction .",0,Parameters
970,"math text padding top , math text padding bottom ,",0,Parameters
971,been exhausted.,0,Parameters
972,legend bool or reverse,0,Parameters
973,"specify the plotting^backend for the whole session, set",0,Parameters
974,help,0,Parameters
975,"grid bool, default none matlab style default",0,Parameters
976,"normally, defaults are not shown.",0,Parameters
977,"momentum float, optional momentum factor default 0",0,Parameters
978,"use index bool, default true",0,Parameters
979,http msdn^microsoft.com en us library windows hardware dn653308 v vs.85 ^aspx,0,Parameters
980,"when using a secondary y axis, automatically mark the column",0,Parameters
981,finalize,0,Parameters
982,arguments.,0,Parameters
983,how many connection related errors to retry on.,0,Parameters
984,kernel size int or tuple the size of the sliding blocks,0,Parameters
985,explicitly.,0,Parameters
986,data series or dataframe,0,Parameters
987,backend to use instead of the backend specified in the option,0,Parameters
988,default mean,0,Parameters
989,"math text padding front , math text padding back",0,Parameters
990,attr padding controls the amount of implicit zero paddings on both,0,Parameters
991,"weight tensor, optional a manual rescaling weight given to the loss",0,Parameters
992,encapsulate multiple exceptions when loading templates from multiple,0,Parameters
993,the second int for the height dimension and the third int for the width dimension,0,Parameters
994,out the least recently used template.,0,Parameters
995,"io str, path object pathlib^path or py.",0,Parameters
996,"if attr reduction is none , then math n, , same",0,Parameters
997,categories will be replaced with nan.,0,Parameters
998,hidden from the user.,0,Parameters
999,in how it works but supports arbitrary number of,0,Parameters
1000,cache size,0,Parameters
1001,indices sequence indices in the whole set selected for subset,0,Parameters
1002,if it was prompted for.,0,Parameters
1003,a default value,0,Parameters
1004,param connection pool kw,0,Parameters
1005,option plotting^backend .,0,Parameters
1006,note attr size average,0,Parameters
1007,"nesterov bool, optional enables nesterov momentum default false",0,Parameters
1008,hist histogram,0,Parameters
1009,will lead to surprising effects and undefined behavior.,0,Parameters
1010,only provides a label and a dict of models.,0,Parameters
1011,this can either be import paths,0,Parameters
1012,"default mean , then",0,Parameters
1013,barh horizontal bar plot,0,Parameters
1014,"categories index like, optional",0,Parameters
1015,response code in the 3xx range.,0,Parameters
1016,the string marking the end of a comment.,0,Parameters
1017,prompted for input.,0,Parameters
1018,option name capitalized.,0,Parameters
1019,"colormap str or matplotlib colormap object, default none",0,Parameters
1020,to validate an individual application s models,0,Parameters
1021,auto reload,0,Parameters
1022,"keys , values , items , iterkeys , itervalues , iteritems ,",0,Parameters
1023,expr target expression marking the end of the data to be skipped,0,Parameters
1024,default 1e 5 .,0,Parameters
1025,"a node should be a tuple app path, migration name .",0,Parameters
1026,"dilation int or tuple, optional spacing between kernel elements.",0,Parameters
1027,param json json for the body to attach to the request if files or data is not specified .,0,Parameters
1028,on attr size average .,0,Parameters
1029,"none no reduction will be applied,",0,Parameters
1030,number of connection pools to cache before discarding the least,0,Parameters
1031,param path type optionally a string type that should be used to,0,Parameters
1032,param iterable remove headers on redirect,0,Parameters
1033,"if categories are given, values not in",0,Parameters
1034,"if given, has to be a tensor of size nbatch .",0,Parameters
1035,neighborhood.,0,Parameters
1036,it to mark it safe without escaping.,0,Parameters
1037,"engine str, default none",0,Parameters
1038,only used if data is a,0,Parameters
1039,param iterable status forcelist,0,Parameters
1040,request.,0,Parameters
1041,"rather than all applications models, call",0,Parameters
1042,"reduction string, optional specifies the reduction to apply to the output",0,Parameters
1043,"y label, position or list of label, positions, default none",0,Parameters
1044,a retry is initiated if the request method is in method whitelist,0,Parameters
1045,for more information have a,0,Parameters
1046,"betas tuple float, float , optional coefficients used for computing",0,Parameters
1047,"include default false if true, the target expression is also parsed",0,Parameters
1048,arguments,0,Parameters
1049,"data numpy array, list, unicode, str or bytes",0,Parameters
