Project,class,Comment,Comment size,Intent(who I am),Responsibilities(What I do and What I know),Collaborators,Key messages,Key implementation points,Instance variables,Reference to other resources (other class(es)/documentation),Subclasses Explanation,Class references,Example,To do comments,Coding guidlines,Warnings/ Note,Discourse,Links,Extension,Recommendations,Observations,Precondition,Dependencies,License/ copyright information,Other,Class,Intent,Responsibilities,ReferenceToOtherResources,Todo comments,Warnings,Extensions,Preconditions,License/copyright
Pillar,PRWatcher,"A class to watch served sites.
Each 5 seconds, the website is regenerated",2,A class to watch served sites.,"A class to watch served sites.
Each 5 seconds, the website is regenerated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pillar,PRList,"I am an abstract list. I represent the abstraction over ordered, unordered HTML or latex list. My children are instances of *PRListItem*. If you need a container of elements better use of PRDocumentGroup.",2,"I am an abstract list. I represent the abstraction over ordered, unordered HTML or latex list. ",,,,,,,My children are instances of *PRListItem*. If you need a container of elements better use of PRDocumentGroup.,,,,,,,,, If you need a container of elements better use of PRDocumentGroup.,,,,,,,,,,,,,,
Pillar,PRMarkdownWriter,"I am a writer for CommonMark
http://spec.commonmark.org/0.28/",2,"""I am a writer for CommonMark",,,,,,"
http://spec.commonmark.org/0.28/""",,,,,,,,,,,,,,,,,,,,,,,,
Pillar,PRPillarParser,I use the PRPillarGrammar and I build a PRDocument.,2,,I use the PRPillarGrammar and I build a PRDocument.,I use the PRPillarGrammar and I build a PRDocument.,,,,,,"PRPillarGrammar
PRDocument.",,,,,,,,,,,,,,,,,,,,,,
Pillar,PRPillarParserOld,"I am a parser for a Pillar syntax. 
I use the PRPillarGrammar and I build a PRDocument.",2,I am a parser for a Pillar syntax.,I use the PRPillarGrammar and I build a PRDocument.,I use the PRPillarGrammar and I build a PRDocument.,,,,,,"PRPillarGrammar
PRDocument.",,,,,,,,,,,,,,,,,,,,,,
Pillar,PRParagraph,"I'm a paragraph of text containing text, line breaks or annotations.
I'm close to a latex or HTML paragraph. I do not contain complex structures such as lists, codeblocks. 
                ",3,"I'm a paragraph of text containing text, line breaks or annotations.","I'm close to a latex or HTML paragraph. I do not contain complex structures such as lists, codeblocks. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pillar,PRParameter,"I represent a key and value pair. 
My key is instance of PRParameterKey and its associated vaue is an instance of PRParameterValue.
",3,"""I represent a key and value pair. 
",,"My key is instance of PRParameterKey and its associated vaue is an instance of PRParameterValue.
""",,,,,," PRParameterKey
 PRParameterValue",,,,,,,,,,,,,,,,,,,,,,
Pillar,PRShowClassTransformer,"I am a transformer for the showClass annotation.

I know how to  visit a showClass annotation and the way to transform it.

I create a PRCodeblock with the class definition within it.",5,I am a transformer for the showClass annotation.,I know how to visit a showClass annotation and the way to transform it.,"
I create a PRCodeblock with the class definition within it.",,,,,,PRCodeblock,,,,,,,,,,,,,,,,,,,,,,
Pillar,PRFootnote,"I am a footnote, you can create me with :

noted: aString

It create a footnote with note specified in parameter.",5,I am a footnote,"
It create a footnote with note specified in parameter.",,,,,,,,noted: aString,,,,,,,,,,,,,,,,,,,,,
Pillar,PRHTMLCanvas,"An HTML canvas that facilitates writing HTML to a stream. The main method is #tag that allow you to write something like this:

canvas tag
        name: 'a';
        parameterAt: 'href' put: href;
        with: [ ""some code that generates the HTML inside the link"" ]",6,An HTML canvas that facilitates writing HTML to a stream. ,An HTML canvas that facilitates writing HTML to a stream. The main method is #tag that allow you to write something like this:,,The main method is #tag that allow you to write something like this:,,"

canvas tag
        name: 'a';
        parameterAt: 'href' put: href;
        with: [ ""some code that generates the HTML inside the link"" ]",,,,,,,,,,,,,,,,,,,,,,,,,
Pillar,PRLaTeXEnvironment,"A LaTeX environment

To emit

\begin{XXX}
kjlkjkl
\end{XXX}",7,A LaTeX environment,To emit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pillar,PRInputFileAnnotation,"I include a reference to a pillar file. With me we can add a transformation to remplace an annotation to a pillar file by his tree.

My tag is: 'inputFile''.

I can have in parameter:
- a path to a file with the key ""value="" (required, you can write it without the key)

Examples: 

${inputFile:myFile.pillar}$

${inputFile:value=directory/myFile.pillar}$",12,,"I include a reference to a pillar file.
With me we can add a transformation to remplace an annotation to a pillar file by his tree.
",,"My tag is: 'inputFile''.

I can have in parameter:
- a path to a file with the key ""value="" (required, you can write it without the key)",,,,,,"Examples: 

${inputFile:myFile.pillar}$

${inputFile:value=directory/myFile.pillar}$",,,,,,,,,,,,,,,,,,,,,
Pillar,PRDocumentListAnnotation,"I am class representing a DocumentListAnnotation. 
I allow users to get abstracts of files located in a directory and specify a link to access these files.
I can choose the number of files to take and the way to sort them.
We can also choose they way abstracts will be represented by specifying templates. We ahave the possibility of giving multiple templates.
Then abstracts will alternately change templates if you specified mutliple directories.

When no template file is specified, abstracts are generated as DocumentGroup containing different files elements.
With templates the annotation is remplaced by a Raw document in Html.
For templates values, you can not specify directories, only .mustache files. You have to specify complete path starting from the project directory.
Also for the path, the complete path from the project directory.

${docList:path=blogs|limit=3|sort=date|templates=#('templates/docArticle.mustache' 'templates/template.mustache')}$

${docList:path=wrongDirectory|limit=3|sort=date|templates=#('templates/docArticle.mustache' 'templates/template.mustache')}$ should raise an Error",14,"""I am class representing a DocumentListAnnotation. ","
I allow users to get abstracts of files located in a directory and specify a link to access these files.
I can choose the number of files to take and the way to sort them.
We can also choose they way abstracts will be represented by specifying templates. We ahave the possibility of giving multiple templates.
Then abstracts will alternately change templates if you specified mutliple directories.

When no template file is specified, abstracts are generated as DocumentGroup containing different files elements.
With templates the annotation is remplaced by a Raw document in Html.
For templates values, you can not specify directories, only .mustache files. You have to specify complete path starting from the project directory.",,,,,,,,"Also for the path, the complete path from the project directory.

${docList:path=blogs|limit=3|sort=date|templates=#('templates/docArticle.mustache' 'templates/template.mustache')}$

${docList:path=wrongDirectory|limit=3|sort=date|templates=#('templates/docArticle.mustache' 'templates/template.mustache')}$ should raise an Error""",,,"For templates values, you can not specify directories, only .mustache files. You have to specify complete path starting from the project directory.",,,,,,,,,,,,,,,,,,
Pillar,PRPhase,"I am an abstract class to describe a Phase of an export. 
A Phase takes an input, transforms it and returns an output.

A phase holds a configuration. This configuration is a  the configuration of the export.

To create a new phase you have to define its prority as a class method then to define the action of the Phase with a method actionOn: anInput. This method will return an output. 
You can also add some transformations to the output like: 

transformerInputFileOn: aCollection
        <pillarTransformer: 1> ""the parameter is the priority of the transformation""
        aCollection
                do: [ :each | 
                        PRFileInclusion new
                                configuration: self configuration;
                                start: each ]",15,I am an abstract class to describe a Phase of an export.,"A Phase takes an input, transforms it and returns an output.

A phase holds a configuration. This configuration is a  the configuration of the export.",,,,,,,,"
To create a new phase you have to define its prority as a class method then to define the action of the Phase with a method actionOn: anInput. This method will return an output. 
You can also add some transformations to the output like: 

transformerInputFileOn: aCollection
        <pillarTransformer: 1> ""the parameter is the priority of the transformation""
        aCollection
                do: [ :each | 
                        PRFileInclusion new
                                configuration: self configuration;
                                start: each ]",,,,,,,,,,,,,,,,,,,,,
Pillar,PRScreenshotAnnotation,"I am an annotation used to show a screenshot of a given class and method.

I am used in a PRDocument to include a PRPicture and add a PNG file to the /figures chapter subfolder.

My parameters are: 
- package: the targetted package
- class: the targetted class
- method: the targetted method
- caption: the caption that will appear under my figure in the final book
- width: PRFigure width (as would be used in a more classic figure inclusion with +caption .>file|width=50)
- label: PRFigure label (as would be used in a more classic figure inclusion with +caption .>file|label=aa)

I am used as follows in a document:

        ${screenshot:package=Kernel|class=Integer|method=+|caption='The Plus Method'|width=50|label=aa}$
        
Note:
        Contrary to the loader or run annotations, there is a transformation going on here: a PRFigure is created in the end, so there is a need here to use a PRNodeTransformer subclass, PRScreenshotTransformer.",18,I am an annotation,"used to show a screenshot of a given class and method.

I am used in a PRDocument to include a PRPicture and add a PNG file to the /figures chapter subfolder.","
I am used in a PRDocument to include a PRPicture and add a PNG file to the /figures chapter subfolder.","My parameters are: 
- package: the targetted package
- class: the targetted class
- method: the targetted method
- caption: the caption that will appear under my figure in the final book
- width: PRFigure width (as would be used in a more classic figure inclusion with +caption .>file|width=50)
- label: PRFigure label (as would be used in a more classic figure inclusion with +caption .>file|label=aa)",,,,,"
PRDocument, PRPicture ","I am used as follows in a document:

        ${screenshot:package=Kernel|class=Integer|method=+|caption='The Plus Method'|width=50|label=aa}$",,,"Note:
        Contrary to the loader or run annotations, there is a transformation going on here: a PRFigure is created in the end, so there is a need here to use a PRNodeTransformer subclass, PRScreenshotTransformer.",,,,,,,,,,,,,,,,,,
Pillar,PRAbstractCommand,"I'm an object managing configuration. I'm usually invoked from a command line but not only.

My main entry point is 

	createConfiguration: confFilename baseDirectory: baseDirectory argDictionary: arguments

When you type on the command line
	
	./pharo-ui Pillar.image pillar export --to=""latex"" Chapters/Chapter1/chapter1.pillar
	
You can obtain the same doing; 

	PRExportBuilder new 	
		createConfiguration: 'pillar.conf' 
		baseDirectory:  FileSystem workingDirectory   
		argDictionary: {
				'inputFile'-> (FileSystem workingDirectory / 'Chapters/Chapter1/chapter1.pillar') .
				'defaultExporters' -> {'latex'}
				} asDictionary;
		export
		",21,"""I'm an object managing configuration. ","I'm usually invoked from a command line but not only.
",,,,,,,,"
My main entry point is 

	createConfiguration: confFilename baseDirectory: baseDirectory argDictionary: arguments

When you type on the command line
	
	./pharo-ui Pillar.image pillar export --to=""""latex"""" Chapters/Chapter1/chapter1.pillar
	
You can obtain the same doing; 

	PRExportBuilder new 	
		createConfiguration: 'pillar.conf' 
		baseDirectory:  FileSystem workingDirectory   
		argDictionary: {
				'inputFile'-> (FileSystem workingDirectory / 'Chapters/Chapter1/chapter1.pillar') .
				'defaultExporters' -> {'latex'}
				} asDictionary;
		export
		""",,,,,,,,,,,,,,,,,,,,,
Pillar,PRBookTesterVisitor,"I am a visitor specialized in visiting books and testing their code. Therefore, I only redefine visitCodeBlock: and specify it with the different parameters the codelock may have.

I gather all results as PRBookTestResult s in allTestsResults.

visitCodeblock: uses executeAndReport: creating a PRBookTestResult with the result of the evaluation of the codeblock.

checkAndReportFileNamed: starts the visit in a given file.

Every codeblock can be specified with the following parameters implying a specialized visit:
- testcase: The codeblock is an example defined as follows, 
                                [[[testcase=true
                                (stimuli) >>> result
                                ]]]
        
- methodDefinition: The codeblock is a method definition defined as follows,
                                [[[methodDefinition=true
                                ClassName >> methodName
                                        method body
                                ]]]
        
- classDefinition 
                                [[[classDefinition=true
                                Object subclass: #YourClass
                                        instanceVariableNames: 'iv1 iv2'
                                        classVariableNames: ''
                                        package: 'YourPackage'
                                ]]]
        
- evaluation
                                [[[testcase=true
                                (stimuli) >>> result
                                ]]]


",35,I am a visitor specialized in visiting books and testing their code.,"Therefore, I only redefine visitCodeBlock: and specify it with the different parameters the codelock may have.

I gather all results as PRBookTestResult s in allTestsResults.
",I am a visitor specialized in visiting books and testing their code.,"
visitCodeblock: uses executeAndReport: creating a PRBookTestResult with the result of the evaluation of the codeblock.

checkAndReportFileNamed: starts the visit in a given file.",,,,,PRBookTestResult,,,,,,,"
Every codeblock can be specified with the following parameters implying a specialized visit:
- testcase: The codeblock is an example defined as follows, 
                                [[[testcase=true
                                (stimuli) >>> result
                                ]]]
        
- methodDefinition: The codeblock is a method definition defined as follows,
                                [[[methodDefinition=true
                                ClassName >> methodName
                                        method body
                                ]]]
        
- classDefinition 
                                [[[classDefinition=true
                                Object subclass: #YourClass
                                        instanceVariableNames: 'iv1 iv2'
                                        classVariableNames: ''
                                        package: 'YourPackage'
                                ]]]
        
- evaluation
                                [[[testcase=true
                                (stimuli) >>> result
                                ]]]

",,,,,,,,,,,,,,,
Petit,,"PPListPattern that is used to match any number of parsers. As its superclass, it cannot be used for actually parsing something.",1,,,,,,,,"As its superclass, it cannot be used for actually parsing something.",,,,,,,,,,,,,,,PPListPattern,,"PPListPattern that is used to match any number of parsers.As its superclass, it cannot be used for actually parsing something.",,,"As its superclass, it cannot be used for actually parsing something.",,,
Petit,,"I return failure, if the delegate parser did not consumed any input.",1,,,,,,,,,,,,,,,,,,,,,,,PPNonEmptyParser,,"I return failure, if the delegate parser did not consumed any input.",,,,,,
Petit,,"These are some simple demo-scripts of parser combinators for the compiler construction course.
http://www.iam.unibe.ch/~scg/Teaching/CC/index.html",2,,,,,,,,,,,,,,,http://www.iam.unibe.ch/~scg/Teaching/CC/index.html,,,,,,,,PPScriptingTest,These are some simple demo-scripts of parser combinators ,,"These are some simple demo-scripts of parser combinators for the compiler construction course.
http://www.iam.unibe.ch/~scg/Teaching/CC/index.html",,,,,
Petit,,"I'm a node filter. 
A xpath node applies me to filter xml elements. ",2,,,,,,,,,,,,,,,,,,,,,,,PPXPathFilter,I'm a node filter. ,A xpath node applies me to filter xml elements. ,,,,,,
Petit,,"A PPRelativePositionStream is a specialized stream to get the relative position according to another stream.

Instance Variables",3,,,,,,,,,,,,,,,,,,,,,,,PPRelativePositionStream,A PPRelativePositionStream is a specialized stream to get the relative position according to another stream.,A PPRelativePositionStream is a specialized stream to get the relative position according to another stream.,,,,,,
Petit,,"PPParserReplaceRule replaces a matched grammar with another grammar, which may include patterns from the matching grammar.

Instance Variables:
        replaceParser        <PPParser>        The parser to replace the matched parser with.",4,,,,,,"
Instance Variables:
        replaceParser        <PPParser>        The parser to replace the matched parser with.",,,,,,,,,,,,,,,,,PPParserReplaceRule,,"PPParserReplaceRule replaces a matched grammar with another grammar, which may include patterns from the matching grammar.",,,,,,
Petit,,"A pluggable parser that passes the parser stream into a block. This enables users to perform manual parsing or to embed other parser frameworks into PetitParser.

Instance Variables:
        block        <BlockClosure>        The pluggable one-argument block.
",5,,,"This enables users to perform manual parsing or to embed other parser frameworks into PetitParser.
",,,"
Instance Variables:
        block        <BlockClosure>        The pluggable one-argument block.",,," PetitParser.
",,,,,,,,,,,,,,PPPluggableParser,A pluggable parser ,"that passes the parser stream into a block. This enables users to perform manual parsing or to embed other parser frameworks into PetitParser.
",,,,,,
Petit,,"Abstract literal parser that parses some kind of literal type (to be specified by subclasses).

Instance Variables:
	literal	<Object>	The literal object to be parsed.
	message	<String>	The error message to be generated.",6,,,"""Abstract literal parser that parses some kind of literal type (to be specified by subclasses).",,,"
Instance Variables:
	literal	<Object>	The literal object to be parsed.
	message	<String>	The error message to be generated.""",,,,,,,,,,,,,,,,,PPLiteralParser,"""Abstract literal parser that parses some kind of literal type (to be specified by subclasses).",,,,,,,
Petit,,"A PPDebugParser is  a parser that traces all the progress and returns special object that can be browsed to see how the parsing advanced over a time.

Used by adding enableDebug before parsing.

Instance Variables
        root:                result of root parser

root
        - xxxxx",9,,,Used by adding enableDebug before parsing.,"
root
        - xxxxx",,"

Instance Variables
        root:                result of root parser",,,,,,,,,,,,,,,,,PPDebugParser,A PPDebugParser is  a parser ,A PPDebugParser is  a parser that traces all the progress and returns special object that can be browsed to see how the parsing advanced over a time.,,,,,,
Petit,,"A PPInfo represent the informations around a parsing result and also contain this result. It is usefull to get parsing evaluation and stream position.

Instance Variables
        element:                <Object>
        start:                <Object>
        stop:                <Object>

element
        - xxxxx

start
        - xxxxx

stop
        - xxxxx",15,,,,,,"Instance Variables
        element:                <Object>
        start:                <Object>
        stop:                <Object>

element
        - xxxxx

start
        - xxxxx

stop
        - xxxxx",,,,,,,,,,,,,,,,,PPInfo,A PPInfo represent the informations around a parsing result and also contain this result, It is usefull to get parsing evaluation and stream position.,,,,,,
Petit,,"A PPIsland allows for imprecise parsing. One can create it on a parser p by calling: 'p island' E.g.:

p := x, a island, y              accepts following inputs:
x.....a.....b 
xab

yet fails on:
x....a....c
xb
xac
x..b....a....b

The input represented by dots is called water and water can appear before and after the island. Use it, if you don't want to define all the grammar rules and you want to skip something.

I am still an experiment, but if you know how to improve me, please contact Jan Kurs at: kurs@iam.unibe.ch

Instance Variables
        afterWaterParser:                <Object>
        awp:                <Object>
        beforeWaterParser:                <Object>
        bwp:                <Object>
        context:                <Object>
        island:                <Object>

afterWaterParser
        - xxxxx

awp
        - xxxxx

beforeWaterParser
        - xxxxx

bwp
        - xxxxx

context
        - xxxxx

island
        - xxxxx",41,,,,"
afterWaterParser
        - xxxxx

awp
        - xxxxx

beforeWaterParser
        - xxxxx

bwp
        - xxxxx

context
        - xxxxx

island
        - xxxxx""",,"
Instance Variables
        afterWaterParser:                <Object>
        awp:                <Object>
        beforeWaterParser:                <Object>
        bwp:                <Object>
        context:                <Object>
        island:                <Object>

afterWaterParser
        - xxxxx

awp
        - xxxxx

beforeWaterParser
        - xxxxx

bwp
        - xxxxx

context
        - xxxxx

island
        - xxxxx""",,,,"
p := x, a island, y              accepts following inputs:
x.....a.....b 
xab

yet fails on:
x....a....c
xb
xac
x..b....a....b

The input represented by dots is called water and water can appear before and after the island. Use it, if you don't want to define all the grammar rules and you want to skip something.

I am still an experiment, but if you know how to improve me, please contact Jan Kurs at: kurs@iam.unibe.ch",,,,"I am still an experiment, but if you know how to improve me, please contact Jan Kurs at: kurs@iam.unibe.ch",,,,,,,,,PPSea,,"""A PPIsland allows for imprecise parsing. One can create it on a parser p by calling: 'p island' E.g.:",,,,,,
PolyMath,,Accuracy is a framework for testing the numerical accuracy of the results of methods.,1,,,,,,,,,,,,,,,,,,,,,,,PMAccuracy,Accuracy is a framework for,for testing the numerical accuracy of the results of methods.,,,,,,
PolyMath,,An ImplicitAnnouncer is used by ODESolver to announce step results (ImplicitSolverAnnouncement).,1,,,An ImplicitAnnouncer is used by ODESolver to announce step results (ImplicitSolverAnnouncement).,,,,,,"ODESolver
ImplicitSolverAnnouncement",,,,,,,,,,,,,,PMImplicitAnnouncer,An ImplicitAnnouncer is used by ODESolver to announce step results (ImplicitSolverAnnouncement).,,,,,,,
PolyMath,,This is the test class that exercises scikit-learn Eigenvector Flip Algorithm,1,,,,,,,,,,,,,,,,,,,,,,,PMSciKitLearnSVDFlipAlgorithmTest,This is the test class that exercises scikit-learn Eigenvector Flip Algorithm,This is the test class that exercises scikit-learn Eigenvector Flip Algorithm,,,,,,
PolyMath,,A BernoulliGeneratorTest is a test class for testing the behavior of BernoulliGenerator,1,,,A BernoulliGeneratorTest is a test class for testing the behavior of BernoulliGenerator,,,,,,BernoulliGenerator,,,,,,,,,,,,,,PMBernoulliGeneratorTest,A BernoulliGeneratorTest is a test class for testing the behavior of BernoulliGenerator,A BernoulliGeneratorTest is a test class for testing the behavior of BernoulliGenerator,,,,,,
PolyMath,,"here are tests that would be in Math-Tests-DHB-Numerical, if it could construct random matrices",1,,,,,,,,,,,,,,,,,,,,,,,PMAdditionalTest,,"here are tests that would be in Math-Tests-DHB-Numerical, if it could construct random matrices",,,,,,
PolyMath,,"QuantileTest tests mainly '#quantile: method:' by calculating quartiles with every method on SortedCollections of size 4, 5, 6 and 11.",1,,,,,"QuantileTest tests mainly '#quantile: method:' by calculating quartiles with every method on SortedCollections of size 4, 5, 6 and 11.",,,,,,,,,,,,,,,,,,PMQuantileTest,,,,,,,,
PolyMath,,"PMHyperDualNumbers can be used to additionally calculate second order derivatives.
They can be mixed with Numbers, not with PMDualNumbers.",2,,,,,,,,,,,,,,,,,"They can be mixed with Numbers, not with PMDualNumbers.",,,,,,PMHyperDualNumber,,"PMHyperDualNumbers can be used to additionally calculate second order derivatives.They can be mixed with Numbers, not with PMDualNumbers.",,,,,,
PolyMath,,"It is stepper for Adams - Moulton method of order 3.
An s-step Adams - Moulton method can reach order s+1.
We can't use AM3 method until we have old solution value and approximate new one. A  AM3 method is implicit.",3,,,,,,,,,,,,,,,,,,,,,,,PMAM3Stepper,It is stepper for Adams - Moulton method of order 3.," An s-step Adams - Moulton method can reach order s+1. 
A  AM3 method is implicit.",,,We can't use AM3 method until we have old solution value and approximate new one.,,We can't use AM3 method until we have old solution value and approximate new one.,
PolyMath,,"A StateTime class is a generalization of point. It holds both a state and a time.

We don't want to  use Point, since state may be a vector quantity, and the behavior of array @ number is a little off (it stores points in an array, what we want is the array itself in state, and the scalar quantity in time).",3,,,,,"We don't want to use Point, since state may be a vector quantity, and the behavior of array @ number is a little off (it stores points in an array, what we want is the array itself in state, and the scalar quantity in time).""",,,,,,,,,,,,,,,,,,PMStateTime,"""A StateTime class is a generalization of point. ",It holds both a state and a time. ,,,,,,
PolyMath,,"Computes the gradient of a function of a Collection of Numbers.

Example: f(x,y)=x^2 * y
g := PMGradient of:[:x|x first squared * x second].
g value:#(3 2). ""-->#(12 9)"" 
g value:#(1 1). ""-->#(2 1)"" ",6,,,,,,,,,,"
Example: f(x,y)=x^2 * y
g := PMGradient of:[:x|x first squared * x second].
g value:#(3 2). """"-->#(12 9)"""" 
g value:#(1 1). """"-->#(2 1)"""" """,,,,,,,,,,,,,PMGradient,,"""Computes the gradient of a function of a Collection of Numbers.
",,,,,,
PolyMath,,"I represent a mathematical matrix. I can be build from rows as follows: 

[[[ 
PMMatrix rows: #((1 2 3)(4 5 6)).
]]]

I understand the usual matrix operations.",7,,,,"
I understand the usual matrix operations.",,,,,,"I can be build from rows as follows: 

[[[ 
PMMatrix rows: #((1 2 3)(4 5 6)).
]]]",,,,,,,,,,,,,PMMatrix,I represent a mathematical matrix.,,,,,,,
PolyMath,,"An ODE Solver uses a Stepper to solve a System. 

The main interface once the solver is set up (it has a stepper and a solver) is
        solve: system x0: aState t0: startTime t1: endTime
        solve: system x0: aState t0: startTime t1: endTime stepSize: dt
        
Announcements are made when a step is taken.",7,,,An ODE Solver uses a Stepper to solve a System. ,"
The main interface once the solver is set up (it has a stepper and a solver) is
        solve: system x0: aState t0: startTime t1: endTime
        solve: system x0: aState t0: startTime t1: endTime stepSize: dt",Announcements are made when a step is taken.,,,,,,,,,,,,,,,,,,PMODESolver,,,,,,,,
PolyMath,,"Basic steppers execute one timestep of a specific order with a given stepsize.

From odeint-v2 documentation:

Solving ordinary differential equation numerically is usually done iteratively, that is a given state of an ordinary differential equation is iterated forward x(t) -> x(t+dt) -> x(t+2dt). Steppers perform one single step. The most general stepper type is described by the Stepper concept.

Before calling doStep, it is important to associate the stepper with a system. The class method onSystem will assign the system to the Stepper.

",9,,,The most general stepper type is described by the Stepper concept.,. The class method onSystem will assign the system to the Stepper.,"Solving ordinary differential equation numerically is usually done iteratively, that is a given state of an ordinary differential equation is iterated forward x(t) -> x(t+dt) -> x(t+2dt). Steppers perform one single step. ",,,,,,,,,,,,,,,,,,PMStepper,Basic steppers,Basic steppers execute one timestep of a specific order with a given stepsize.,"From odeint-v2 documentation:

Solving ordinary differential equation numerically is usually done iteratively, that is a given state of an ordinary differential equation is iterated forward x(t) -> x(t+dt) -> x(t+2dt). Steppers perform one single step. The most general stepper type is described by the Stepper concept.",,,,"
Before calling doStep, it is important to associate the stepper with a system. ",
PolyMath,,"does a two-sided Kolmogorov-Smirnow test and checks whether sample data are from a population with a given distribution. you have to set the data that can be any collection of numbers and the cumulative distribution function. you can do the last one in two ways, either  by specifying a block via #cdf: or by specifying a distribution with concrete parameters via #populationDistribution: .
#ksStatistic returns kolmogorovs D, calculated as the maximum of D+ and D- , iow it does not (!) use D = max( | F(y(i)) - i/n| ) . (see eg http://www.itl.nist.gov/div898/handbook/eda/section3/eda35g.htm  why this would be wrong.)
#pValue returns the probability of getting a D <= ksStatistic .
#rejectEqualityHypothesisWithAlpha: does what its name says of course.
example:
nd:= DhbNormalDistribution new.""--> Normal distribution( 0, 1)""
ks :=KolmogorovSmirnov  compareData: ((1 to:100) collect:[:i|nd random]) withDistribution: nd.""--> 
a KolmogorovSmirnov(dataSize: 100 cdf: distributionValue of Normal distribution( 0, 1))""
ks rejectEqualityHypothesisWithAlpha: 0.05.""--> false""

",11,,,,"#ksStatistic returns kolmogorovs D, calculated as the maximum of D+ and D- , iow it does not (!) use D = max( | F(y(i)) - i/n| ) . (see eg http://www.itl.nist.gov/div898/handbook/eda/section3/eda35g.htm  why this would be wrong.)
#pValue returns the probability of getting a D <= ksStatistic .
#rejectEqualityHypothesisWithAlpha: does what its name says of course.",,,,,,"you can do the last one in two ways, either  by specifying a block via #cdf: or by specifying a distribution with concrete parameters via #populationDistribution: .
example:
nd:= DhbNormalDistribution new.""--> Normal distribution( 0, 1)""
ks :=KolmogorovSmirnov  compareData: ((1 to:100) collect:[:i|nd random]) withDistribution: nd.""--> 
a KolmogorovSmirnov(dataSize: 100 cdf: distributionValue of Normal distribution( 0, 1))""
ks rejectEqualityHypothesisWithAlpha: 0.05.""--> false""",,,,why this would be wrong.),http://www.itl.nist.gov/div898/handbook/eda/section3/eda35g.htm ,,,,,,,,PMKolmogorovSmirnov1Sample,,does a two-sided Kolmogorov-Smirnow test and checks whether sample data are from a population with a given distribution, (see eg http://www.itl.nist.gov/div898/handbook/eda/section3/eda35g.htm  why this would be wrong.),,you have to set the data that can be any collection of numbers and the cumulative distribution function.,,you have to set the data that can be any collection of numbers and the cumulative distribution function.,
