,comment_sentence,partition,category
1056,rotatebyradians rotate me by amount of radians clockwise,0,Keymessages
1057,for bonus points how to create instances.,0,Keymessages
1058,r zoom to osm zoom level base is 1km pixel,0,Keymessages
1059,filter create a builder of filter drawing operation,0,Keymessages
1060,class brglamorousicons show gticonsfor expanded,0,Keymessages
1061,message two,0,Keymessages
1062,i understand the usual matrix operations.,0,Keymessages
1063,maximumrelativeage,0,Keymessages
1064,only matters when the maximum size is bigger than 0.,0,Keymessages
1065,rectangle rectangle,0,Keymessages
1066,maximumsize integer,0,Keymessages
1067,interval interval,0,Keymessages
1068,"from the camera, get the zoom level and offset.",0,Keymessages
1069,higraph,0,Keymessages
1070,wauptimetracker imageboottime.,0,Keymessages
1071,attributes,0,Keymessages
1072,bwp object,0,Keymessages
1073,it does not have to be unique,0,Keymessages
1074,the main interface once the solver is set up it has a stepper and a solver is,0,Keymessages
1075,aving an orientation #vertical or #horizontal.,0,Keymessages
1076,highlightable object,0,Keymessages
1077,attributes dictionary,0,Keymessages
1078,a rttextword represents one word of an original text.,0,Keymessages
1079,paint set background paint,0,Keymessages
1080,after so many seconds after its creation a session is considered expired no matter when it was last accessed.,0,Keymessages
1081,mooseid is an integer that uniquely identifies this entity within the entire moose environment.,0,Keymessages
1082,the input represented by dots is called water and water can appear before and after the island.,0,Keymessages
1083,view,0,Keymessages
1084,"paint create a paint builder linear, radial gradients",0,Keymessages
1085,text create a text rendering builder,0,Keymessages
1086,"scaleby scale me by a factor, a point or a number.",0,Keymessages
1087,offsetonedge,0,Keymessages
1088,has to be positive.,0,Keymessages
1089,width prfigure width as would be used in a more classic figure inclusion with caption .,0,Keymessages
1090,spartaline from 10@10 to 20@20,0,Keymessages
1091,method gtrlreleaseconfiguration #defaultreleasebranchname the branch name on which to perform the release.,0,Keymessages
1092,root result of root parser,0,Keymessages
1093,it is possible hovewer to customize a length fraction how long should be the outer arrow compared to the length of the side of a nose triangle.,0,Keymessages
1094,level,0,Keymessages
1095,i do the hard job of visually updating selection by requesting segment holders to partially update themselves,0,Keymessages
1096,island,0,Keymessages
1097,popup object,0,Keymessages
1098,maximumsize,0,Keymessages
1099,extent get my size width@height,0,Keymessages
1100,it is generated automatically during the creation of the mooseentity.,0,Keymessages
1101,xxxxx,0,Keymessages
1102,with ablock description adescription length anumber,0,Keymessages
1103,caption the caption that will appear under my figure in the final book,0,Keymessages
1104,possible values,0,Keymessages
1105,i transform composite key combination formula into a cnf https en^wikipedia.org wiki conjunctive normal form,0,Keymessages
1106,"the larger the number, the deeper down in the hierarchy the node is located.",0,Keymessages
1107,afterwaterparser,0,Keymessages
1108,codec,0,Keymessages
1109,#codec,0,Keymessages
1110,interval of the word in the original text,0,Keymessages
1111,"contact class used above has instance variables name, phonenumber with standard getter and setter methods",0,Keymessages
1112,alignbounds alignment is made between the edges of each component s raw bounds,0,Keymessages
1113,a rosmoothlayouttranslator is xxxxxxxxx.,0,Keymessages
1114,rectangle,0,Keymessages
1115,file label aa,0,Keymessages
1116,"the bar can have a specificity like #scalable, so it give an idea of the size of the view.",0,Keymessages
1117,position,0,Keymessages
1118,afterwaterparser object,0,Keymessages
1119,empty collection if the node is a leaf in the hierarchy.,0,Keymessages
1120,#query asymbol with afamixassociation looks for the associations of the kind afamixassociation in the direction described by the symbol in the receiver and its children.,0,Keymessages
1121,position object,0,Keymessages
1122,labelforselector asymbol,0,Keymessages
1123,outgoing orderedcollection,0,Keymessages
1124,mandatory methods are,0,Keymessages
1125,scale,0,Keymessages
1126,cellspacing anumber to specify spacing between cells,0,Keymessages
1127,awp object,0,Keymessages
1128,self answer,0,Keymessages
1129,my main api methods for setting other default options are,0,Keymessages
1130,#querylocal asymbol with afamixassociation looks for the associations of the kind afamixassociation in the direction described by the symbol in the receiver.,0,Keymessages
1131,class the targetted class,0,Keymessages
1132,asymbol #phonenumber iftrue ^ phone number .,0,Keymessages
1133,the scale of the shape,0,Keymessages
1134,text string text,0,Keymessages
1135,ok,0,Keymessages
1136,the main method is #tag that allow you to write something like this,0,Keymessages
1137,given a data model walabelledformdialog displays a label and input field for each instance variable of interest.,0,Keymessages
1138,move,0,Keymessages
1139,i do not enforce a lazy api.,0,Keymessages
1140,public api and key messages,0,Keymessages
1141,buttons,0,Keymessages
1142,scale point,0,Keymessages
1143,i define an api of stroke options object.,0,Keymessages
1144,the symbol is used generate the accessor methods for the data in the model.,0,Keymessages
1145,the rows method returns a collections of symbols.,0,Keymessages
1146,"transformation to get current transformation matrix, can not be mil",0,Keymessages
1147,text object,0,Keymessages
1148,these are subclasses of class gtrlsemanticversioncomputation,0,Keymessages
1149,canvas object,0,Keymessages
1150,moosename returns a symbol that should qualify the current entity.,0,Keymessages
1151,method gtprototasker #flush expanded true,0,Keymessages
1152,repeaty repeat only y axis,0,Keymessages
1153,#canprocess verifies if the processor can execute on the given example.,0,Keymessages
1154,bounds of the shape,0,Keymessages
1155,"shape create a common shapes factory ellipse, rounded rectangle, etc",0,Keymessages
1156,higraph malhierarchicalgraph,0,Keymessages
1157,dictionary to attach arbitrary information to a node,0,Keymessages
