stratum,class,comment,Intent,Responsibilities,Collaborators,Keymessages,Keyimplementationpoints,Classreferences,Example
1,BlDevScripterClickStep,"i fire a class blmousedownevent , class blmouseupevent , and class blclickevent .

example

here you can see how to configure a fire and check a click event on a child element
example bldevscripterexamples #clickcheck previewexpanded true previewheight 400",,"i fire a class blmousedownevent , class blmouseupevent , and class blclickevent .",,,,"class blmousedownevent
class blmouseupevent
class blclickevent","example

here you can see how to configure a fire and check a click event on a child element
example bldevscripterexamples #clickcheck previewexpanded true previewheight 400"
1,BlDragDelegate,"drag delegate provides drag items when a visual element lifts.
drag gesture fails if there are no drag items",,"drag delegate provides drag items when a visual element lifts.
drag gesture fails if there are no drag items",,,,,
1,BlElementBoundsExamples,i contain examples of element bounds api,,i contain examples of element bounds api,,,,,
1,BlElementCenterLeftAnchor,my position is equal to the left center of a reference element,,my position is equal to the left center of a reference element,my position is equal to the left center of a reference element,,,,
1,BlElementDynamicTransformation,"i am dynamic element transformation in the sense that my transformation matrix may actually depend on some element properties such as #extent or #position.

it means that matrix computation is performed only when requested taking owner element into account.
this also means that the matrix dimension 2d or 3d should be determined dynamically based on inner transformations",i am dynamic element transformation in the sense that my transformation matrix may actually depend on some element properties such as #extent or #position.,i am dynamic element transformation in the sense that my transformation matrix may actually depend on some element properties such as #extent or #position.,,,it means that matrix computation is performed only when requested taking owner element into account.,,
1,BlElementEffect,"i am the abstract root class for effects.
i define the default drawing strategy before & after .
my subclasses can be composed as a chain of effects.
i can influence the bounds of my owner used to clip my owner .",i am the abstract root class for effects.,"i define the default drawing strategy before & after .
i can influence the bounds of my owner used to clip my owner .",,,,,
1,BlElementPositionChangedEvent,"is sent when element s position within its parent changes.

note position may change even if an element has no parent",,,is sent when element s position within its parent changes.,,,,
1,BlElementPositionChangeTest,i contain examples of position change logging functionality,,i contain examples of position change logging functionality,,,,,
1,BlElementRemovedEvent,"is sent by an element after it is removed from the parent.

note i am not sent when element is detached!

example

child parent

child blelement new.
child when blelementremovedevent do self inform removed from parent .

parent blelement new.
parent addchild child.
parent removechild child",,,is sent by an element after it is removed from the parent.,,,,"example

child parent

child blelement new.
child when blelementremovedevent do self inform removed from parent .

parent blelement new.
parent addchild child.
parent removechild child"
1,BlElementSelectionAcquiredEvent,"is sent when element gets inside of mouse selection rectangle or when the overlapping rectangle formed by element s bounds and selection rectangle changes.

text containing elements should react on this event and select a corresponding portion of text within selection rectangle",,,is sent when element gets inside of mouse selection rectangle or when the overlapping rectangle formed by element s bounds and selection rectangle changes.,,,,
1,BlExampleCustomEventTarget,i am an example of a custom non element event target that can be nicely integrated in bloc infrastructure,i am an example of a custom non element event target,that can be nicely integrated in bloc infrastructure,,,,,
1,BlExampleElementWithBrokenOnLayout,i am an element with a broken onlayout method that throws error subscriptoutofbounds,i am an element with a broken onlayout method,that throws error subscriptoutofbounds,,,,,
1,BlExperimentalExamples,"i contain experimental examples that only work in manually prepared laboratory environments.

trying to run these examples may result in undefined bahaviour such as crash, infinite debugger windows spawning, unresponsive image, universe collapse or suddenly created black hole that will probably destroy our solar system.

take care. be conscious at all times.",,i contain experimental examples that only work in manually prepared laboratory environments.,,,,,
1,BlFocusExamples,"how to

1 inspect run example
2 click one any cell to give it a focus blue border should appear
3 navigate with keyboard arrows arrow up down left right",,,,,,,"how to

1 inspect run example
2 click one any cell to give it a focus blue border should appear
3 navigate with keyboard arrows arrow up down left right"
1,BlGeometry,the geometry is used to define the geometry to be drawn and the interaction area.,,the geometry is used to define the geometry to be drawn and the interaction area.,the geometry is used to define the geometry to be drawn and the interaction area.,,,,
1,BlGeometryAnchorListener,i am an event listener that listens anchor moved event send by anchor,i am an event listener that listens anchor moved event send by anchor,i am an event listener that listens anchor moved event send by anchor,i am an event listener that listens anchor moved event send by anchor,,,,
1,BlGeometryAnchorMoved,i am sent when anchor s position changed,,i am sent when anchor s position changed,,,,,
1,BlGeometryElement,i am a root class of geometry elements elements driven by geometry anchors.,i am a root class of geometry elements,i am a root class of geometry elements elements driven by geometry anchors.,,,,,
1,BlGridLayout,"i layout elements in a rectangular grid.

all children of an element with gridlayout must use gridconstraints that allows users to configure how children are located within grid independently.

a grid consists of cells that are separated by invisible lines. each line is assigned to an index, meaning that a grid with n columns would have n 1 line. indices lie in closed interval 1, n 1 .

grid layout supports fitcontent, matchparent and exact resizing mode of the owner. children are allowed to have fitcontent and exact resizing modes. because child s matchparent does not make sense in case of grid users should use #fill to declare that child should take all available cell s space.

by default grid layout does not specify how many columns and rows exist, instead it tries to compute necessary amount of columns or rows depending on amount of children. user can specify amount of columns or rows by sending columncount or rowcount to an instance of grid layout.

grid layout supports spacing between cells which can be set sending cellspacing message.

public api and key messages

columncount anumber to specify amount of columns
rowcount anumber to specify amount of rows
cellspacing anumber to specify spacing between cells
alignmargins bounds of each element are extended outwards, according to their margins, before the edges of the resulting rectangle are aligned.
alignbounds alignment is made between the edges of each component s raw bounds

blgridlayout new
columncount 2
rowcount 3
cellspacing 10
alignmargins

internal representation and key implementation points.

instance variables
alignmentmode blgridalignmentmode
cellspacing number
horizontalaxis blgridlayoutaxis
lastlayoutparamshashcode number
orientation blgridorientation
verticalaxis blgridlayoutaxis

implementation points",,i layout elements in a rectangular grid.,,"public api and key messages

columncount anumber to specify amount of columns
rowcount anumber to specify amount of rows
cellspacing anumber to specify spacing between cells
alignmargins bounds of each element are extended outwards, according to their margins, before the edges of the resulting rectangle are aligned.
alignbounds alignment is made between the edges of each component s raw bounds","all children of an element with gridlayout must use gridconstraints that allows users to configure how children are located within grid independently.

a grid consists of cells that are separated by invisible lines. each line is assigned to an index, meaning that a grid with n columns would have n 1 line. indices lie in closed interval 1, n 1 .

grid layout supports fitcontent, matchparent and exact resizing mode of the owner. children are allowed to have fitcontent and exact resizing modes. because child s matchparent does not make sense in case of grid users should use #fill to declare that child should take all available cell s space.

by default grid layout does not specify how many columns and rows exist, instead it tries to compute necessary amount of columns or rows depending on amount of children. user can specify amount of columns or rows by sending columncount or rowcount to an instance of grid layout.

grid layout supports spacing between cells which can be set sending cellspacing message.

internal representation and key implementation points.

implementation points",gridconstraints,
1,BlGridLayoutArc,"i represent an association of span interval, associated value and validity flag.

i am used by grid layout instead of dictionary of span value key value pair for performance reasons.

internal representation and key implementation points.

instance variables
span blgridlayoutinterval
valid boolean
value blgridmutableinteger","i represent an association of span interval, associated value and validity flag.",i am used by grid layout instead of dictionary of span value key value pair for performance reasons.,,,,,
1,BlGridLayoutUsageExamples,"i contain examples of a grid layout

i show how different resizing strategies work and how to build advanced layouts with the help of a grid",,"i contain examples of a grid layout

i show how different resizing strategies work and how to build advanced layouts with the help of a grid",,,,,
1,BlHandlerRegistry,"i am an event handler registry used by dispatchers in order to manage event handlers.

example

registry
one can use announcer based registry
registry blhandlerannouncerregistry new.
or registry based on plain array
registry blhandlerarrayregistry new.
registry add bleventhandler on blclickevent do self inform click .
registry add bleventhandler on blmousedownevent do self inform mouse down .
registry add bleventhandler on blmouseupevent do self inform mouse up .
registry dispatchevent blclickevent new.
registry dispatchevent blmousedownevent new.
registry dispatchevent blmouseupevent new.",i am an event handler registry used by dispatchers in order to manage event handlers.,i am an event handler registry used by dispatchers in order to manage event handlers.,,,,,"example

registry
one can use announcer based registry
registry blhandlerannouncerregistry new.
or registry based on plain array
registry blhandlerarrayregistry new.
registry add bleventhandler on blclickevent do self inform click .
registry add bleventhandler on blmousedownevent do self inform mouse down .
registry add bleventhandler on blmouseupevent do self inform mouse up .
registry dispatchevent blclickevent new.
registry dispatchevent blmousedownevent new.
registry dispatchevent blmouseupevent new."
1,BlHeadlessHost,i am a fallback host that is chosen if there are no other available and supported hosts.,i am a fallback host that is chosen if there are no other available and supported hosts.,i am a fallback host that is chosen if there are no other available and supported hosts.,,,,,
1,BlHostPulseLoop,"i am the bloc main loop.
i indicate to the universe that is time to synchronize the state of the elements.

a pulse is fired every 16ms if possible to obtain 60 frames per second fps maximum. this may be delayed if there are background processes wanting to run to ensure that background calculation of ui elements can complete . see method name blpulseloop #wait for details of how the loop time is regulated.

the opened spaces listen the pulse to be synchronized and to update their state when it is needed.",i am the bloc main loop.,i indicate to the universe that is time to synchronize the state of the elements.,,,a pulse is fired every 16ms if possible to obtain 60 frames per second fps maximum. this may be delayed if there are background processes wanting to run to ensure that background calculation of ui elements can complete . the opened spaces listen the pulse to be synchronized and to update their state when it is needed.,,
1,BlInfiniteDataSourceCommandType,"i am a type of data source update command.
i suppose to be stateless and therefore immutable.
for performance and memory reasons i provide a unique instance of me to be shared among my users",i am a type of data source update command.,,,,"i suppose to be stateless and therefore immutable.
for performance and memory reasons i provide a unique instance of me to be shared among my users",,
1,BlInfiniteDataSourceItemRangeMoved,"sent when an item reflected at from position has been moved to to position.
this is a structural change event. representations of other existing items in the data set are still considered up to date and will not be rebound, though their positions may be altered.

sent by
blinfinitedatasource

example

infiniteelement datasource
addeventhandleron blinfinitedatasourceitemrangemoved
do event self inform item was moved from , event from asstring, to , event to asstring",,"this is a structural change event. representations of other existing items in the data set are still considered up to date and will not be rebound, though their positions may be altered.","sent by
blinfinitedatasource",,,blinfinitedatasource,"example

infiniteelement datasource
addeventhandleron blinfinitedatasourceitemrangemoved
do event self inform item was moved from , event from asstring, to , event to asstring"
1,BlInfiniteExampleClassesDataSource,i am a data source of the collection of all classes in the image,i am a data source of the collection of all classes in the image,,i am a data source of the collection of all classes in the image,,,,
1,BlInfiniteItemAnimationsFinished,"i am sent when all pending or running animations in an itemanimator are finished.
i can be used, for example, to delay an action in a data set until currently running animations are complete.",,"i can be used, for example, to delay an action in a data set until currently running animations are complete.",,,,,
1,BlInfiniteSmoothScrollerAction,i hold information about a smooth scroll request by a smoothscroller.,,i hold information about a smooth scroll request by a smoothscroller.,i hold information about a smooth scroll request by a smoothscroller.,,,smoothscroller,
1,BlKeyCombination,"i represent an abstract key combination which is the most important part of blshortcut .
i define an event matching api that allows blshortcuthandler to find the most appropriate shortcut for currently pressed keys.

i have support of visitor pattern. see blkeycombinationvisitor

see blkeycombinationexamples for related examples.",i represent an abstract key combination which is the most important part of blshortcut .,i define an event matching api that allows blshortcuthandler to find the most appropriate shortcut for currently pressed keys.i have support of visitor pattern,,,,"blkeycombinationvisitor
blkeycombinationexamples
blshortcuthandler",
1,BlKeyCombinationConverterCNF,i transform composite key combination formula into a cnf https en.wikipedia.org wiki conjunctive normal form,,i transform composite key combination formula into a cnf https en.wikipedia.org wiki conjunctive normal form,,i transform composite key combination formula into a cnf https en.wikipedia.org wiki conjunctive normal form,,,
1,BlLayout,"bloc layout
i am the superclass for layouts in bloc and i define the api that a concrete layout needs to implement.

i am attached to a bloc element and define the visual structure of that bloc element. tipically this includes the position of child elements within the parent, or the size of the parent element.

layout constraints
i support a set of attributes refered to as constraints in bloc which define the visual properties of the layout. a small set of constraints, like padding, margin or minimal and maximum dimensions, are common among all the layouts. each layout has a dedicated constraint objects, instance of class bllayoutcommonconstraints , that contain these common constraints. each type of layout can further define its own specific constraints by creating a subclass of class bllayoutconstraints .

todo constraints api

layout phase in a frame
layouting of elements is a phase executed by a space during every frame.

every frame, the space goes through several phases method blspaceframe #initializephases . phases are modeled as subclasses of class blspaceframephase and are executed once per frame. one of them, class blspaceframelayoutphase , consists in layouting the elements contained in the space. this is done after events and tasks have been executed, but before the drawing phase.

layouting should to be executed during a frame when various properties like, width, height or position change in any element contained by the space. however, an important aspect in bloc, is that when one of these properties changes, layouting is not performed immediately. instead, a layout request is issued by the element whose property changed using the message method blelement #requestlayout . this has the advantage that if no element request layout, this phase can be skipped. also it does not matter if layout is requeste one or 1000 time only one layout phase is performed improving performance.

hence, in bloc layout is not executed immediately after a property like the width of an element changes. instead layout is requested and perfomed, if needed, during every frame. when needing to test layouts, however, it is necessary to apply a layout immediately, instead of waiting for a frame to end. that can be done using the messafe method blelement #forcelayout this should not be used outside of tests, as it bypasses the normal layouting system from bloc.

in a space where all elements have no event handlers for layout events, elements are going to be layouted exactly once during the layouting phase. however, often elements need to reach and perform actions, when for example their position or extent changes. they can react by requesting another layout. a tipical example is deadling with edges. an edge can be layouted only after the position of the elements that it connects is known. hence, often the layout needs to be applied twice, or more, during the layouting phase. the space only allows layout requests during the layouting phase a limited number of times method blspace #computelayout to avoid blocking rendering due to infinite recursions caused by layout requests, or void spending too much time on layouts in a frame. more technical details can be found in the method method blspace #dolayout , the main entry point for executing the layout phase in a space.

performing a layout
the space starts the layouting process on the root element of that space. performing the layout on an element consists in executing three main steps
measuring bounds determine the bounds of the element according to its layout
applying the layout determine the position of children within the element
commiting changes raise layout events like position or extent changed.

todo why three separate steps?

measuring bounds
this is the first step when performing a layout on an element and consists in determening the measured bounds of that element.

each element can decide how it wants to be measured method blelement #onmeasure . by default class blelement delegates the measuring to its layout. layouts should override method bllayout #measure with to implement the actual measuring. normally layouts follow a top to bottom approach they measure the current element and then asks its children to do the measuring.

each element has real bounds blelement #bounds and measured bounds blelement #measuredbounds . the real bounds contain the actual position and extent of an element that users of that element should rely on. the measured bounds are used during layouting to hold the new extent of an element. the measuring phase changes only the extent in the measured bounds. after the entire layout phase is completed the real bounds and measured bounds will have the same value. the measured bounds act like a temporary cache for the new bounds of an element. they were introduced to avoid changing the real extent of element while layouting of children is still being performed.

todo explain why position is sometime changed in the measured bounds

applying the layout

commiting changes

todo
space starts the measurement process from the root element after measurement it tell children to measure themselves, etc
measurement top to bottom though all the composition of elements.
this step find the size of an element and sets measuredextent or position sometimes
space starts the layout step
as we know the size of each child we compute the actual position for each child
changes the real extent to measured extent and the real position to the computed layout position
elements announce events for position and extent changed

without event handlers the layout process is going to happen only once.
for example when nodes change the position edges should be updated.

layout events

todo

layout api
i define an api of a layout. concrete implementations should focus on measure with and layout in","bloc layout
i am the superclass for layouts in bloc and i define the api that a concrete layout needs to implement.","i am attached to a bloc element and define the visual structure of that bloc element. tipically this includes the position of child elements within the parent, or the size of the parent element.i support a set of attributes refered to as constraints in bloc which define the visual properties of the layout","i am attached to a bloc element and define the visual structure of that bloc element. tipically this includes the position of child elements within the parent, or the size of the parent element.",i define an api of a layout. concrete implementations should focus on measure with and layout in,"layout constraints
i support a set of attributes refered to as constraints in bloc which define the visual properties of the layout. a small set of constraints, like padding, margin or minimal and maximum dimensions, are common among all the layouts. each layout has a dedicated constraint objects, instance of class bllayoutcommonconstraints , that contain these common constraints. each type of layout can further define its own specific constraints by creating a subclass of class bllayoutconstraints .

todo constraints api

layout phase in a frame
layouting of elements is a phase executed by a space during every frame.

every frame, the space goes through several phases method blspaceframe #initializephases . phases are modeled as subclasses of class blspaceframephase and are executed once per frame. one of them, class blspaceframelayoutphase , consists in layouting the elements contained in the space. this is done after events and tasks have been executed, but before the drawing phase.

layouting should to be executed during a frame when various properties like, width, height or position change in any element contained by the space. however, an important aspect in bloc, is that when one of these properties changes, layouting is not performed immediately. instead, a layout request is issued by the element whose property changed using the message method blelement #requestlayout . this has the advantage that if no element request layout, this phase can be skipped. also it does not matter if layout is requeste one or 1000 time only one layout phase is performed improving performance.

hence, in bloc layout is not executed immediately after a property like the width of an element changes. instead layout is requested and perfomed, if needed, during every frame. when needing to test layouts, however, it is necessary to apply a layout immediately, instead of waiting for a frame to end. that can be done using the messafe method blelement #forcelayout this should not be used outside of tests, as it bypasses the normal layouting system from bloc.

in a space where all elements have no event handlers for layout events, elements are going to be layouted exactly once during the layouting phase. however, often elements need to reach and perform actions, when for example their position or extent changes. they can react by requesting another layout. a tipical example is deadling with edges. an edge can be layouted only after the position of the elements that it connects is known. hence, often the layout needs to be applied twice, or more, during the layouting phase. the space only allows layout requests during the layouting phase a limited number of times method blspace #computelayout to avoid blocking rendering due to infinite recursions caused by layout requests, or void spending too much time on layouts in a frame. more technical details can be found in the method method blspace #dolayout , the main entry point for executing the layout phase in a space.

performing a layout
the space starts the layouting process on the root element of that space. performing the layout on an element consists in executing three main steps
measuring bounds determine the bounds of the element according to its layout
applying the layout determine the position of children within the element
commiting changes raise layout events like position or extent changed.

todo why three separate steps?

measuring bounds
this is the first step when performing a layout on an element and consists in determening the measured bounds of that element.

each element can decide how it wants to be measured method blelement #onmeasure . by default class blelement delegates the measuring to its layout. layouts should override method bllayout #measure with to implement the actual measuring. normally layouts follow a top to bottom approach they measure the current element and then asks its children to do the measuring.

each element has real bounds blelement #bounds and measured bounds blelement #measuredbounds . the real bounds contain the actual position and extent of an element that users of that element should rely on. the measured bounds are used during layouting to hold the new extent of an element. the measuring phase changes only the extent in the measured bounds. after the entire layout phase is completed the real bounds and measured bounds will have the same value. the measured bounds act like a temporary cache for the new bounds of an element. they were introduced to avoid changing the real extent of element while layouting of children is still being performed.

todo explain why position is sometime changed in the measured bounds

applying the layout

commiting changes

todo
space starts the measurement process from the root element after measurement it tell children to measure themselves, etc
measurement top to bottom though all the composition of elements.
this step find the size of an element and sets measuredextent or position sometimes
space starts the layout step
as we know the size of each child we compute the actual position for each child
changes the real extent to measured extent and the real position to the computed layout position
elements announce events for position and extent changed

without event handlers the layout process is going to happen only once.
for example when nodes change the position edges should be updated.

layout events

todo

layout api
i define an api of a layout. concrete implementations should focus on measure with and layout in",,
1,BlLocalImageCacheTest,this class contains tests,,this class contains tests,,,,,
1,BlMatrix2D,"i represent a matrix used for 2d affine transformations.
https en.wikipedia.org wiki matrix mathematics

my components are named according to mathematical convention

a11 a12 sx shy
a21 a22 shx sy
a31 a32 x y",i represent a matrix used for 2d affine transformations.,,,,"my components are named according to mathematical convention

a11 a12 sx shy
a21 a22 shx sy
a31 a32 x y",,
1,BlMatrixDecomposition,"i represent a matrix decomposition in components.

for example in case of 2d matrix they are
translation
scale
rotation angle
top left 2x2 minor of original matrix

3d 4x4 matrices are decomposed as follows
translation
scale
skew
perspective
quaternion",i represent a matrix decomposition in components.,,,,"for example in case of 2d matrix they are
translation
scale
rotation angle
top left 2x2 minor of original matrix

3d 4x4 matrices are decomposed as follows
translation
scale
skew
perspective
quaternion",,
1,BlMatrixTransformation,i am an affine transformation that is directly defined by transformation matrix,i am an affine transformation that is directly defined by transformation matrix,,,,,,
1,BlMeasurementUnspecifiedMode,"i represent a concrete implementation of unspecified measurement mode.
for more information see class comment of blmeasurementmode",i represent a concrete implementation of unspecified measurement mode.,,,,,blmeasurementmode,
1,BlMorphicHostSpace,"i am a host space created by blmorphichost.
i make it possible to embed bloc space within arbitrary morphs.
for more information and example, please refer to blmorphichost.",i am a host space created by blmorphichost.,i make it possible to embed bloc space within arbitrary morphs.,,,,,
1,BlMorphicSpaceHostMorph,i act as a space host for a bloc space,i act as a space host for a bloc space,,i act as a space host for a bloc space,,,,
1,BlMorphicWindowHost,i am a concrete implementation of a blhost that allows users to open host bloc spaces within moprhic windows,i am a concrete implementation of a blhost,that allows users to open host bloc spaces within moprhic windows,that allows users to open host bloc spaces within moprhic windows,,,blhost,
1,BlMorphicWindowOpenedEvent,i am fired by morphic host window when it is opened in the world,i am fired by morphic host window when it is opened in the world,,i am fired by morphic host window when it is opened in the world,,,world,
1,BlMouseMiddleButton,i am a middle mouse button. often can be triggered by mouse wheel click,i am a middle mouse button.,often can be triggered by mouse wheel clic,,,,,
1,BlMouseMoveEvent,"the mouse move event is fired when a pointing device usually a mouse is moved while over an element.

https developer.mozilla.org en us docs web events mousemove",,,the mouse move event is fired when a pointing device usually a mouse is moved while over an element.,,,,
1,BlMouseProcessor,"i am an event processor.
i convert basic events to more complex events.
for example, i generate events like click, dbl click, drag&drop, ... from mouse down, mouse up, and mouse move events.

mouse actions are blocked during drag",i am an event processor.,i convert basic events to more complex events.,i convert basic events to more complex events.,,,,"for example, i generate events like click, dbl click, drag&drop, ... from mouse down, mouse up, and mouse move events."
1,BlPerpendicularFractionAnchor,"i am a virtual anchor that lays on a perpendicular to a line between two reference anchors.

the curvature distance from the line connecting reference anchors is defined as a fraction curvaturefraction of a length between anchors.",i am a virtual anchor that lays on a perpendicular to a line between two reference anchors.,i am a virtual anchor that lays on a perpendicular to a line between two reference anchors.,,,the curvature distance from the line connecting reference anchors is defined as a fraction curvaturefraction of a length between anchors.,,
1,BlPolygon,"example

blpolygon vertices
10@50.
50@20.
150@40.
180@150.
80@140",,,,,,,"example

blpolygon vertices
10@50.
50@20.
150@40.
180@150.
80@140"
