stratum,class,comment,Summary,Usage,Parameters,Expand,DevelopmentNotes
1,BaseCommand,"the base class from which all management commands ultimately
derive.

use this class if you want access to all of the mechanisms which
parse the command line arguments and work out what code to call in
response if you don t need to change any of that behavior,
consider using one of the subclasses defined in this file.

if you are interested in overriding customizing various aspects of
the command parsing and execution behavior, the normal flow works
as follows

1. django admin or manage.py loads the command class
and calls its run from argv method.

2. the run from argv method calls create parser to get
an argumentparser for the arguments, parses them, performs
any environment changes requested by options like
pythonpath , and then calls the execute method,
passing the parsed arguments.

3. the execute method attempts to carry out the command by
calling the handle method with the parsed arguments any
output produced by handle will be printed to standard
output and, if the command is intended to produce a block of
sql statements, will be wrapped in begin and commit .

4. if handle or execute raised any exception eg
commanderror , run from argv will instead print an error
message to stderr .

thus, the handle method is typically the starting point for
subclasses many built in commands and command types either place
all of their logic in handle , or perform some additional
parsing work in handle and then delegate from it to more
specialized methods as needed.

several attributes affect behavior at various steps along the way

help
a short description of the command, which will be printed in
help messages.

output transaction
a boolean indicating whether the command outputs sql
statements if true , the output will automatically be
wrapped with begin and commit . default value is
false .

requires migrations checks
a boolean if true , the command prints a warning if the set of
migrations on disk don t match the migrations in the database.

requires system checks
a boolean if true , entire django project will be checked for errors
prior to executing the command. default value is true .
to validate an individual application s models
rather than all applications models, call
self.check app configs from handle , where app configs
is the list of application s configuration provided by the
app registry.

stealth options
a tuple of any options the command uses which aren t defined by the
argument parser.","the base class from which all management commands ultimately
derive.","if you are interested in overriding customizing various aspects of
the command parsing and execution behavior, the normal flow works
as follows

1. django admin or manage.py loads the command class
and calls its run from argv method.

2. the run from argv method calls create parser to get
an argumentparser for the arguments, parses them, performs
any environment changes requested by options like
pythonpath , and then calls the execute method,
passing the parsed arguments.

3. the execute method attempts to carry out the command by
calling the handle method with the parsed arguments any
output produced by handle will be printed to standard
output and, if the command is intended to produce a block of
sql statements, will be wrapped in begin and commit .

4. if handle or execute raised any exception eg
commanderror , run from argv will instead print an error
message to stderr .","several attributes affect behavior at various steps along the way

help
a short description of the command, which will be printed in
help messages.

output transaction
a boolean indicating whether the command outputs sql
statements if true , the output will automatically be
wrapped with begin and commit . default value is
false .

requires migrations checks
a boolean if true , the command prints a warning if the set of
migrations on disk don t match the migrations in the database.

requires system checks
a boolean if true , entire django project will be checked for errors
prior to executing the command. default value is true .
to validate an individual application s models
rather than all applications models, call
self.check app configs from handle , where app configs
is the list of application s configuration provided by the
app registry.",,"use this class if you want access to all of the mechanisms which
parse the command line arguments and work out what code to call in
response if you don t need to change any of that behavior,
consider using one of the subclasses defined in this file.

thus, the handle method is typically the starting point for
subclasses many built in commands and command types either place
all of their logic in handle , or perform some additional
parsing work in handle and then delegate from it to more
specialized methods as needed."
1,BaseDatabaseSchemaEditor,"this class and its subclasses are responsible for emitting schema changing
statements to the databases model creation removal alteration, field
renaming, index fiddling, and so on.","this class and its subclasses are responsible for emitting schema changing
statements to the databases model creation removal alteration, field
renaming, index fiddling, and so on.",,,,"this class and its subclasses are responsible for emitting schema changing
statements to the databases model creation removal alteration, field
renaming, index fiddling, and so on."
1,BaseExpression,base class for all query expressions.,base class for all query expressions.,,,,
1,BaseUpdateView,"base view for updating an existing object.

using this base class requires subclassing to provide a response mixin.",base view for updating an existing object.,,,,using this base class requires subclassing to provide a response mixin.
1,BaseYearArchiveView,list of objects published in a given year.,list of objects published in a given year.,,,,
1,BCryptSHA256PasswordHasher,"secure password hashing using the bcrypt algorithm recommended

this is considered by many to be the most secure algorithm but you
must first install the bcrypt library. please be warned that
this library depends on native c code and might cause portability
issues.",secure password hashing using the bcrypt algorithm recommended,"this is considered by many to be the most secure algorithm but you
must first install the bcrypt library.",,,
1,BoundWidget,"a container class used for iterating over widgets. this is useful for
widgets that have choices. for example, the following can be used in a
template

% for radio in myform.beatles %
label for radio.id for label
radio.choice label
span class radio radio.tag span
label
% endfor %",a container class used for iterating over widgets.,"for example, the following can be used in a
template

% for radio in myform.beatles %
label for radio.id for label
radio.choice label
span class radio radio.tag span
label
% endfor %",,,"this is useful for
widgets that have choices."
1,CacheHandler,"a cache handler to manage access to cache instances.

ensure only one instance of each alias exists per thread.",a cache handler to manage access to cache instances.,,,ensure only one instance of each alias exists per thread.,
1,Choices,class for creating enumerated choices.,class for creating enumerated choices.,,class for creating enumerated choices.,,
1,ChunkIter,"an iterable that will yield chunks of data. given a file like object as the
constructor, yield chunks of read operations from that object.",an iterable that will yield chunks of data.,,,"given a file like object as the
constructor, yield chunks of read operations from that object.",
1,Client,"a class that can act as a client for testing purposes.

it allows the user to compose get and post requests, and
obtain the response that the server gave to those requests.
the server response objects are annotated with the details
of the contexts and templates that were rendered during the
process of serving the request.

client objects are stateful they will retain cookie and
thus session details for the lifetime of the client instance.

this is not intended as a replacement for twill selenium or
the like it is here to allow testing against the
contexts and templates produced by a view, rather than the
html rendered to the end user.",a class that can act as a client for testing purposes.,,,"it allows the user to compose get and post requests, and
obtain the response that the server gave to those requests.
the server response objects are annotated with the details
of the contexts and templates that were rendered during the
process of serving the request.

client objects are stateful they will retain cookie and
thus session details for the lifetime of the client instance.","this is not intended as a replacement for twill selenium or
the like it is here to allow testing against the
contexts and templates produced by a view, rather than the
html rendered to the end user."
1,Combinable,"provide the ability to combine one or two objects with
some connector. for example f foo f bar .","provide the ability to combine one or two objects with
some connector.",for example f foo f bar .,,,
1,ConsoleDirective,"a restructuredtext directive which renders a two tab code block in which
the second tab shows a windows command line equivalent of the usual
unix oriented examples.","a restructuredtext directive which renders a two tab code block in which
the second tab shows a windows command line equivalent of the usual
unix oriented examples.",,,,
1,Context,a stack container for variable context,a stack container for variable context,,,,
1,CryptPasswordHasher,"password hashing using unix crypt not recommended

the crypt module is not supported on all platforms.",password hashing using unix crypt not recommended,,,,the crypt module is not supported on all platforms.
1,CustomArticleAdmin,tests various hooks for using custom templates and contexts.,tests various hooks for using custom templates and contexts.,,,,
1,CustomCacheKeyValidationTests,"tests for the ability to mixin a custom validate key method to
a custom cache backend that otherwise inherits from a builtin
backend, and override the default key validation. refs #6447.","tests for the ability to mixin a custom validate key method to
a custom cache backend",,,"that otherwise inherits from a builtin
backend, and override the default key validation.",
1,CustomHeaderRemoteUserTest,"tests a custom remoteusermiddleware subclass with custom http auth user
header.",tests a custom remoteusermiddleware subclass,,tests a custom remoteusermiddleware subclass with custom http auth user,,
1,DatabaseReceiver,used in the tests for the database argument in signals #13552,used in the tests for the database argument in signals #13552,,,,
1,DblFromGeom,"argument is a geometry, return type is double that is passed
in by reference as the last argument.",,,"argument is a geometry,

return type is double that is passed
in by reference as the last argument",,
1,DisallowedModelAdminToField,invalid to field was passed to admin view via url query string,invalid to field was passed to admin view via url query string,,,,
1,DjangoHTMLTranslator,django specific rest to html tweaks.,django specific rest to html tweaks.,,,,
1,Dumpdata,tests for dumpdata management command.,tests for dumpdata management command.,,,,
1,EarliestOrLatestTests,tests for the earliest and latest objects methods,tests for the earliest and latest objects methods,,,,
1,EmptyStringsAsNullTest,"filtering on non null character fields works as expected.
the reason for these tests is that oracle treats as null, and this
can cause problems in query construction. refs #17957.",,,,,
1,ErrorDict,"a collection of errors that knows how to display itself in various formats.

the dictionary keys are the field names, and the values are the errors.",a collection of errors that knows how to display itself in various formats.,"the dictionary keys are the field names, and the values are the errors.",,,
1,ExceptionThatFailsUnpickling,"after pickling, this class fails unpickling with an error about incorrect
arguments passed to init .","after pickling, this class fails unpickling with an error about incorrect
arguments passed to init .",,,,
1,FakePayload,"a wrapper around bytesio that restricts what can be read since data from
the network can t be sought and cannot be read outside of its content
length. this makes sure that views can t do anything under the test client
that wouldn t work in real life.","a wrapper around bytesio that restricts what can be read since data from
the network can t be sought and cannot be read outside of its content
length.",,,"this makes sure that views can t do anything under the test client
that wouldn t work in real life.",
1,FallbackStorage,"try to store all messages in the first backend. store any unstored
messages in each subsequent backend.",,,,"try to store all messages in the first backend. store any unstored
messages in each subsequent backend.",
1,FootNote,model added for ticket 19838,,,,,model added for ticket 19838
1,FrenchTestCase,tests using the french translations of the sampleproject.,tests using the french translations of the sampleproject.,,,,
1,GeoFlexibleFieldLookupDict,"subclass that includes updates the base data types reverse dict
for geometry field types.",,,,,
1,Group,table column fields,table column fields,,,,
1,GZipMiddleware,"compress content if the browser allows gzip compression.
set the vary header accordingly, so that caches will base their storage
on the accept encoding header.","compress content if the browser allows gzip compression.set the vary header accordingly, so that caches will base their storage
on the accept encoding header.",,,,
1,HiddenRangeWidget,a widget that splits input into two input type hidden inputs.,a widget that splits input into two input type hidden inputs.,,,,
1,ImageFileDescriptor,"just like the filedescriptor, but for imagefields. the only difference is
assigning the width height to the width field height field, if appropriate.","just like the filedescriptor, but for imagefields.",,,"the only difference is
assigning the width height to the width field height field, if appropriate.",
1,IncompleteCategoryFormWithExclude,"a form that replaces the model s url field with a custom one. this should
prevent the model field s validation from being called.",a form that replaces the model s url field with a custom one.,,,,
1,Individual,"a model with a fk to itself. it won t be registered with the admin, so the
corresponding raw id widget won t have a magnifying glass link to select
related instances rendering will be called programmatically in this case .",a model with a fk to itself.,"it won t be registered with the admin, so the
corresponding raw id widget won t have a magnifying glass link to select
related instances rendering will be called programmatically in this case .",,,"it won t be registered with the admin, so the
corresponding raw id widget won t have a magnifying glass link to select
related instances rendering will be called programmatically in this case ."
1,InputStreamExhausted,no more reads are allowed from this device.,no more reads are allowed from this device.,,,no more reads are allowed from this device.,
1,IntFromGeom,"argument is a geometry, return type is an integer.",,,"argument is a geometry, return type is an integer.",,"argument is a geometry, return type is an integer."
1,InvalidBasesError,a model s base classes can t be resolved.,a model s base classes can t be resolved.,,,,
1,KMLSitemap,a minimal hook to produce kml sitemaps.,a minimal hook to produce kml sitemaps.,,,,
1,ListMixin,"a base class which provides complete list interface.
derived classes must call listmixin s init function
and implement the following

function get single external self, i
return single item with index i for general use.
the index i will always satisfy 0 i len self .

function get single internal self, i
same as above, but for use within the class optional
note that if get single internal and get single internal return
different types of objects, set list must distinguish
between the two and handle each appropriately.

function set list self, length, items
recreate the entire object.

note items may be a generator which calls get single internal.
therefore, it is necessary to cache the values in a temporary
temp list items
before clobbering the original storage.

function set single self, i, value
set the single item at index i to value optional
if left undefined, all mutations will result in rebuilding
the object using set list.

function len self
return the length

int minlength
the minimum legal length optional

int maxlength
the maximum legal length optional

type or tuple allowed
a type or tuple of allowed item types optional",a base class which provides complete list interface.,,,"derived classes must call listmixin s init function
and implement the following

function get single external self, i
return single item with index i for general use.
the index i will always satisfy 0 i len self .

function get single internal self, i
same as above, but for use within the class optional
note that if get single internal and get single internal return
different types of objects, set list must distinguish
between the two and handle each appropriately.

function set list self, length, items
recreate the entire object.

note items may be a generator which calls get single internal.
therefore, it is necessary to cache the values in a temporary
temp list items
before clobbering the original storage.

function set single self, i, value
set the single item at index i to value optional
if left undefined, all mutations will result in rebuilding
the object using set list.

function len self
return the length

int minlength
the minimum legal length optional

int maxlength
the maximum legal length optional

type or tuple allowed
a type or tuple of allowed item types optional",
1,LogoutThenLoginTests,tests for the logout then login view,tests for the logout then login view,,,,
1,MakeListTests,"the make list filter can destroy existing escaping, so the results are
escaped.",,,,"the make list filter can destroy existing escaping, so the results are
escaped.",
1,ManagementForm,"keep track of how many form instances are displayed on the page. if adding
new forms via javascript, you should increment the count field of this form
as well.",keep track of how many form instances are displayed on the page.,,,,
1,MemcachedCache,an implementation of a cache binding using python memcached,an implementation of a cache binding using python memcached,,,,
1,MemoryFileUploadHandler,file upload handler to stream uploads into memory used for small files .,file upload handler to stream uploads into memory used for small files .,,,,
1,Migration,"the base class for all migrations.

migration files will import this from django.db.migrations.migration
and subclass it as a class called migration. it will have one or more
of the following attributes

operations a list of operation instances, probably from django.db.migrations.operations
dependencies a list of tuples of app path, migration name
run before a list of tuples of app path, migration name
replaces a list of migration names

note that all migrations come out of migrations and into the loader or
graph as instances, having been initialized with their app label and name.",the base class for all migrations.,"it will have one or more
of the following attributes

operations a list of operation instances, probably from django.db.migrations.operations
dependencies a list of tuples of app path, migration name
run before a list of tuples of app path, migration name
replaces a list of migration names","it will have one or more
of the following attributes

operations a list of operation instances, probably from django.db.migrations.operations
dependencies a list of tuples of app path, migration name
run before a list of tuples of app path, migration name
replaces a list of migration names",,
1,MigrationGraph,"represent the digraph of all migrations in a project.

each migration is a node, and each dependency is an edge. there are
no implicit dependencies between numbered migrations the numbering is
merely a convention to aid file listing. every new numbered migration
has a declared dependency to the previous number, meaning that vcs
branch merges can be detected and resolved.

migrations files can be marked as replacing another set of migrations
this is to support the squash feature. the graph handler isn t responsible
for these instead, the code to load them in here should examine the
migration files and if the replaced migrations are all either unapplied
or not present, it should ignore the replaced ones, load in just the
replacing migration, and repoint any dependencies that pointed to the
replaced migrations to point to the replacing one.

a node should be a tuple app path, migration name . the tree special cases
things within an app namely, root nodes and leaf nodes ignore dependencies
to other apps.",represent the digraph of all migrations in a project.,"migrations files can be marked as replacing another set of migrations
this is to support the squash feature.

the graph handler isn t responsible
for these instead, the code to load them in here should examine the
migration files and if the replaced migrations are all either unapplied
or not present, it should ignore the replaced ones, load in just the
replacing migration, and repoint any dependencies that pointed to the
replaced migrations to point to the replacing one.","a node should be a tuple app path, migration name .",,"each migration is a node, and each dependency is an edge.

there are
no implicit dependencies between numbered migrations the numbering is
merely a convention to aid file listing."
1,MigrationLoader,"load migration files from disk and their status from the database.

migration files are expected to live in the migrations directory of
an app. their names are entirely unimportant from a code perspective,
but will probably follow the 1234 name.py convention.

on initialization, this class will scan those directories, and open and
read the python files, looking for a class called migration, which should
inherit from django.db.migrations.migration. see
django.db.migrations.migration for what that looks like.

some migrations will be marked as replacing another set of migrations.
these are loaded into a separate set of migrations away from the main ones.
if all the migrations they replace are either unapplied or missing from
disk, then they are injected into the main set, replacing the named migrations.
any dependency pointers to the replaced migrations are re pointed to the
new migration.

this does mean that this class must also talk to the database as well as
to disk, but this is probably fine. we re already not just operating
in memory.",load migration files from disk and their status from the database.,"this does mean that this class must also talk to the database as well as
to disk, but this is probably fine. we re already not just operating
in memory.",,"on initialization, this class will scan those directories, and open and
read the python files, looking for a class called migration, which should
inherit from django.db.migrations.migration. see
django.db.migrations.migration for what that looks like.

some migrations will be marked as replacing another set of migrations.
these are loaded into a separate set of migrations away from the main ones.
if all the migrations they replace are either unapplied or missing from
disk, then they are injected into the main set, replacing the named migrations.
any dependency pointers to the replaced migrations are re pointed to the
new migration.",
1,MigrationQuestioner,"give the autodetector responses to questions it might have.
this base class has a built in noninteractive mode, but the
interactive subclass is what the command line arguments will use.",give the autodetector responses to questions it might have.,"this base class has a built in noninteractive mode, but the
interactive subclass is what the command line arguments will use.",,,"this base class has a built in noninteractive mode, but the
interactive subclass is what the command line arguments will use."
1,MigrationWriter,"take a migration instance and is able to produce the contents
of the migration file from it.","take a migration instance and is able to produce the contents
of the migration file from it.",,,,
1,ModelBase,metaclass for all models.,metaclass for all models.,,,,
1,ModelSignal,"signal subclass that allows the sender to be lazily specified as a string
of the app label.modelname form.","signal subclass that allows the sender to be lazily specified as a string
of the app label.modelname form.",,,,
1,MultiPartParser,"a rfc2388 multipart form data parser.

multivaluedict.parse reads the input stream in chunk size chunks
and returns a tuple of multivaluedict post , multivaluedict files .",a rfc2388 multipart form data parser.,,,,"multivaluedict.parse reads the input stream in chunk size chunks
and returns a tuple of multivaluedict post , multivaluedict files ."
1,MultiValueDict,"a subclass of dictionary customized to handle multiple values for the
same key.

d multivaluedict name adrian , simon , position developer
d name
simon
d.getlist name
adrian , simon
d.getlist doesnotexist

d.getlist doesnotexist , adrian , simon
adrian , simon
d.get lastname , nonexistent
nonexistent
d.setlist lastname , holovaty , willison

this class exists to solve the irritating problem raised by cgi.parse qs,
which returns a list for every key, even though most web forms submit
single name value pairs.","a subclass of dictionary customized to handle multiple values for the
same key.","d multivaluedict name adrian , simon , position developer
d name
simon
d.getlist name
adrian , simon
d.getlist doesnotexist

d.getlist doesnotexist , adrian , simon
adrian , simon
d.get lastname , nonexistent
nonexistent
d.setlist lastname , holovaty , willison",,"this class exists to solve the irritating problem raised by cgi.parse qs,
which returns a list for every key, even though most web forms submit
single name value pairs.","this class exists to solve the irritating problem raised by cgi.parse qs,
which returns a list for every key, even though most web forms submit
single name value pairs."
1,MultiValueField,"aggregate the logic of multiple fields.

its clean method takes a decompressed list of values, which are then
cleaned into a single value according to self.fields. each value in
this list is cleaned by the corresponding field the first value is
cleaned by the first field, the second value is cleaned by the second
field, etc once all fields are cleaned, the list of clean values is
compressed into a single value.

subclasses should not have to implement clean . instead, they must
implement compress , which takes a list of valid values and returns a
compressed version of those values a single value.

you ll probably want to use this with multiwidget.",aggregate the logic of multiple fields.,,,"its clean method takes a decompressed list of values, which are then
cleaned into a single value according to self.fields. each value in
this list is cleaned by the corresponding field the first value is
cleaned by the first field, the second value is cleaned by the second
field, etc once all fields are cleaned, the list of clean values is
compressed into a single value.",
1,MultiWidget,"a widget that is composed of multiple widgets.

in addition to the values added by widget.get context , this widget
adds a list of subwidgets to the context as widget subwidgets .
these can be looped over and rendered like normal widgets.

you ll probably want to use this class with multivaluefield.",a widget that is composed of multiple widgets.,,,"in addition to the values added by widget.get context , this widget
adds a list of subwidgets to the context as widget subwidgets .
these can be looped over and rendered like normal widgets.",
1,MyModel,model subclass with a custom base using metaclass.,model subclass with a custom base using metaclass.,,,,
1,NestedObjectsTests,tests for nestedobject utility collection.,tests for nestedobject utility collection.,,,,
1,Operation,"base class for migration operations.

it s responsible for both mutating the in memory model state
see db migrations state.py to represent what it performs, as well
as actually performing it against a live database.

note that some operations won t modify memory state at all eg data
copying operations , and some will need their modifications to be
optionally specified by the user eg custom python code snippets

due to the way this class deals with deconstruction, it should be
considered immutable.",base class for migration operations.,,,"it s responsible for both mutating the in memory model state
see db migrations state.py to represent what it performs, as well
as actually performing it against a live database.",
1,OverwritingStorage,"overwrite existing files instead of appending a suffix to generate an
unused name.","overwrite existing files instead of appending a suffix to generate an
unused name.",,,,
1,ParentWithDependentChildren,"issue #20522
model where the validation of child foreign key relationships depends
on validation of the parent","model where the validation of child foreign key relationships depends
on validation of the parent",,,,
1,Permission,"the permissions system provides a way to assign permissions to specific
users and groups of users.

the permission system is used by the django admin site, but may also be
useful in your own code. the django admin site uses permissions as follows

the add permission limits the user s ability to view the add form
and add an object.
the change permission limits a user s ability to view the change
list, view the change form and change an object.
the delete permission limits the ability to delete an object.
the view permission limits the ability to view an object.

permissions are set globally per type of object, not per specific object
instance. it is possible to say mary may change news stories, but it s
not currently possible to say mary may change news stories, but only the
ones she created herself or mary may only change news stories that have a
certain status or publication date.

the permissions listed above are automatically created for each model.","the permissions system provides a way to assign permissions to specific
users and groups of users.","the permission system is used by the django admin site, but may also be
useful in your own code. the django admin site uses permissions as follows

the add permission limits the user s ability to view the add form
and add an object.
the change permission limits a user s ability to view the change
list, view the change form and change an object.
the delete permission limits the ability to delete an object.
the view permission limits the ability to view an object.",,the permissions listed above are automatically created for each model.,
1,PermissionDeniedBackendTest,other backends are not checked once a backend raises permissiondenied,,,,,
1,PrePopulatedPostLargeSlug,"regression test for #15938 a large max length for the slugfield must not
be localized in prepopulated fields js.html or it might end up breaking
the javascript ie, using thousand separator ends up with maxlength 1,000",,,,,
1,ProxyModelInheritanceTests,"proxy model inheritance across apps can result in migrate not creating the table
for the proxied model as described in #12286 . this test creates two dummy
apps and calls migrate, then verifies that the table has been created.","proxy model inheritance across apps can result in migrate not creating the table
for the proxied model as described in #12286 .",,,"this test creates two dummy
apps and calls migrate, then verifies that the table has been created.",
1,RawPostDataException,"you cannot access raw post data from a request that has
multipart post data if it has been accessed via post,
files, etc..","you cannot access raw post data from a request that has
multipart post data if it has been accessed via post,
files, etc..",,,"if it has been accessed via post,
files, etc..",
1,RemoteTestRunner,"run tests and record everything but don t display anything.

the implementation matches the unpythonic coding style of unittest2.",run tests and record everything but don t display anything.,,,,
1,RequestFactoryEnvironmentTests,"regression tests for #8551 and #17067 ensure that environment variables
are set correctly in requestfactory.","regression tests for #8551 and #17067 ensure that environment variables
are set correctly in requestfactory.",,,"ensure that environment variables
are set correctly in requestfactory.",
1,ReverseGenericManyToOneDescriptor,"accessor to the related objects manager on the one to many relation created
by genericrelation.

in the example

class post model
comments genericrelation comment

post.comments is a reversegenericmanytoonedescriptor instance.","accessor to the related objects manager on the one to many relation created
by genericrelation.","in the example

class post model
comments genericrelation comment

post.comments is a reversegenericmanytoonedescriptor instance.",,,
1,SameAsLookup,"the operator is the same as operator. it tests actual geometric
equality of two features. so if a and b are the same feature,
vertex by vertex, the operator returns true.","the operator is the same as operator. it tests actual geometric
equality of two features. so if a and b are the same feature,
vertex by vertex, the operator returns true.",,,"the operator is the same as operator. it tests actual geometric
equality of two features. so if a and b are the same feature,
vertex by vertex, the operator returns true.",
1,Serializer,convert a queryset to json.,convert a queryset to json.,,,,
1,SessionStorage,"store messages in the session that is, django.contrib.sessions .","store messages in the session that is, django.contrib.sessions .",,,,
1,SessionStore,"a database session store, that handles updating the account id column
inside the custom session model.","a database session store,",,,"that handles updating the account id column
inside the custom session model.",
1,SimpleView,a simple view with a docstring.,a simple view with a docstring.,,,,
1,SpatialRefSysMixin,"the spatialrefsysmixin is a class used by the database dependent
spatialrefsys objects to reduce redundant code.","the spatialrefsysmixin is a class used by the database dependent
spatialrefsys objects to reduce redundant code.",,,,"the spatialrefsysmixin is a class used by the database dependent
spatialrefsys objects to reduce redundant code."
1,SplitHiddenDateTimeWidget,a widget that splits datetime input into two input type hidden inputs.,a widget that splits datetime input into two input type hidden inputs.,,,,
1,StaticFilesHandler,"wsgi middleware that intercepts calls to the static files directory, as
defined by the static url setting, and serves those files.","wsgi middleware that intercepts calls to the static files directory, as
defined by the static url setting, and serves those files.",,"wsgi middleware that intercepts calls to the static files directory, as
defined by the static url setting, and serves those files.",,
1,StrictAssignmentTests,"should a model do anything special with setattr or descriptors which
raise a validationerror, a model form should catch the error #24706 .",,,,,
1,SubCategoryForm,"subclassing without specifying a meta on the class will use
the parent s meta or the first parent in the mro if there are
multiple parent classes .",,,,,
1,SuccessMessageMixin,add a success message on successful form submission.,add a success message on successful form submission.,,,,
1,TemplateDoesNotExist,"the exception used when a template does not exist. optional arguments

backend
the template backend class used when raising this exception.

tried
a list of sources that were tried when finding the template. this
is formatted as a list of tuples containing origin, status , where
origin is an origin object or duck type and status is a string with the
reason the template wasn t found.

chain
a list of intermediate templatedoesnotexist exceptions. this is used to
encapsulate multiple exceptions when loading templates from multiple
engines.",the exception used when a template does not exist,,"optional arguments

backend
the template backend class used when raising this exception.

tried
a list of sources that were tried when finding the template. this
is formatted as a list of tuples containing origin, status , where
origin is an origin object or duck type and status is a string with the
reason the template wasn t found.

chain
a list of intermediate templatedoesnotexist exceptions. this is used to
encapsulate multiple exceptions when loading templates from multiple
engines.",,
1,TestImageFieldFile,"custom field file class that records whether or not the underlying file
was opened.","custom field file class that records whether or not the underlying file
was opened.",,,,
1,TestRouter,routes to the other database if the model name starts with other .,,,,routes to the other database if the model name starts with other .,
1,TestUtils,"this doc output is required for testing. i copied this example from
admindocs documentation. title

display an individual model myapp.mymodel .

context

requestcontext

mymodel
an instance of model myapp.mymodel .

template

template myapp my template.html description

some metadata some data",,,,,this doc output is required for testing.
1,UniqueAnchor,"this is a model that can be used as
something for other models to point at","this is a model that can be used as
something for other models to point at",,,,
1,UpdateError,occurs if django tries to update a session that was deleted.,occurs if django tries to update a session that was deleted.,,,,
1,UserCreationForm,"a form that creates a user, with no privileges, from the given username and
password.","a form that creates a user, with no privileges, from the given username and
password.",,"a form that creates a user, with no privileges, from the given username and
password.",,
1,VariableWrapper,"an adapter class for cursor variables that prevents the wrapped object
from being converted into a string when used to instantiate an oracleparam.
this can be used generally for any other object that should be passed into
cursor.execute as is.","an adapter class for cursor variables that prevents the wrapped object
from being converted into a string when used to instantiate an oracleparam.","this can be used generally for any other object that should be passed into
cursor.execute as is.",,,
1,WindowFrame,"model the frame clause in window expressions. there are two types of frame
clauses which are subclasses, however, all processing and validation by no
means intended to be complete is done here. thus, providing an end for a
frame is optional the default is unbounded following, which is the last
row in the frame .",model the frame clause in window expressions,,,"there are two types of frame
clauses which are subclasses, however, all processing and validation by no
means intended to be complete is done here.",
1,XFrameOptionsDecoratorsTests,tests for the x frame options decorators.,tests for the x frame options decorators.,,,,
