stratum,class,comment,summary,Expand,rational,deprecation,usage,Ownership,Pointer
1,BatchedRequests.java,"a grouping of scheduling requests which are sent to the placementalgorithm
to place as a batch. the placement algorithm tends to give more optimal
placements if more requests are batched together.
placementalgorithmoutput attempt the number of times the requests in this
iterator type.","a grouping of scheduling requests which are sent to the placementalgorithm
to place as a batch
iterator type.","the placement algorithm tends to give more optimal
placements if more requests are batched together.",,,placementalgorithmoutput attempt the number of times the requests in this,,
1,BlockPlacementStatusWithNodeGroup.java,"an implementation of @see blockplacementstatus for
@see blockplacementpolicywithnodegroup",an implementation of @see blockplacementstatus,,for @see blockplacementpolicywithnodegroup,,,,for @see blockplacementpolicywithnodegroup
1,BlocksMap.java,"this class maintains the map from a block to its metadata.
block s metadata currently includes blockcollection it belongs to and
the datanodes that store the block.",this class maintains the map from a block to its metadata.,"block s metadata currently includes blockcollection it belongs to and
the datanodes that store the block.",,,,,
1,BlockUtils.java,utils functions to help block functions.,utils functions to help block functions,,utils functions to help block functions,,,,
1,ByteArrayEncodingState.java,"a utility class that maintains encoding state during an encode call using
byte array inputs.",a utility class that maintains encoding state during an encode call using byte array inputs.,a utility class that maintains encoding state during an encode call using byte array inputs.,,,,,
1,CapacitySchedulerPlanFollower.java,"this class implements a @link planfollower . this is invoked on a timer, and
it is in charge to publish the state of the @link plan s to the underlying
@link capacityscheduler . this implementation does so, by
adding removing resizing leaf queues in the scheduler, thus affecting the
dynamic behavior of the scheduler in a way that is consistent with the
content of the plan. it also updates the plan s view on how much resources
are available in the cluster.
this implementation of planfollower is relatively stateless, and it can
synchronize schedulers and plans that have arbitrary changes performing set
differences among existing queues . this makes it resilient to frequency of
synchronization, and rm restart issues no catch up is necessary .","this class implements a @link planfollower . this is invoked on a timer, and
it is in charge to publish the state of the @link plan s to the underlying
@link capacityscheduler .","this implementation does so, by
adding removing resizing leaf queues in the scheduler, thus affecting the
dynamic behavior of the scheduler in a way that is consistent with the
content of the plan. it also updates the plan s view on how much resources
are available in the cluster.","this implementation of planfollower is relatively stateless, and it can
synchronize schedulers and plans that have arbitrary changes performing set
differences among existing queues . this makes it resilient to frequency of
synchronization, and rm restart issues no catch up is necessary .",,,,
1,Classpath.java,"command line utility for getting the full classpath needed to launch a hadoop
client application. if the hadoop script is called with classpath as the
command, then it simply prints the classpath and exits immediately without
launching a jvm. the output likely will include wildcards in the classpath.
if there are arguments passed to the classpath command, then this class gets
called. with the glob argument, it prints the full classpath with wildcards
expanded. this is useful in situations where wildcard syntax isn t usable.
with the jar argument, it writes the classpath as a manifest in a jar file.
this is useful in environments with short limitations on the maximum command
line length, where it may not be possible to specify the full classpath in a
command. for example, the maximum command line length on windows is 8191
characters.",command line utility for getting the full classpath needed to launch a hadoop client application.,"if the hadoop script is called with classpath as the command, then it simply prints the classpath and exits immediately without launching a jvm. the output likely will include wildcards in the classpath. if there are arguments passed to the classpath command, then this class gets called. with the glob argument, it prints the full classpath with wildcards expanded. this is useful in situations where wildcard syntax isn t usable. with the jar argument, it writes the classpath as a manifest in a jar file. this is useful in environments with short limitations on the maximum command line length, where it may not be possible to specify the full classpath in a command. for example, the maximum command line length on windows is 8191 characters.",,,,,
1,ComparableVersion.java,"code source of this file http grepcode.com file repo1.maven.org maven2 org.apache.maven maven artifact 31.1 org apache maven artifact versioning comparableversion.java modifications made on top of the source 1. changed package org.apache.maven.artifact.versioning to package org.apache.hadoop.util 2. removed author tags to clear hadoop author tag warning
generic implementation of version comparison.
p features
ul
li mixing of code code dash and code . code dot separators, li
li transition between characters and digits also constitutes a separator
code 10alpha1 &gt 1, 0, alpha, 1 code li
li unlimited number of version components, li
li version components in the text can be digits or strings, li
li strings are checked for well known qualifiers and the qualifier ordering is used for version ordering.
well known qualifiers case insensitive are ul
li code alpha code or code a code li
li code beta code or code b code li
li code milestone code or code m code li
li code rc code or code cr code li
li code snapshot code li
li code the empty string code or code ga code or code final code li
li code sp code li
ul
unknown qualifiers are considered after known qualifiers, with lexical order always case insensitive ,
li
li a dash usually precedes a qualifier, and is always less important than something preceded with a dot. li
ul p

@see a href https cwiki.apache.org confluence display mavenold versioning versioning on maven wiki a

represents a numeric item in the version item list.

represents a string in the version item list, usually a qualifier.

represents a version list item. this class is used both for the global item list and for sub lists which start
with number in the version specification .","generic implementation of version comparison. represents a numeric item in the version item list.

represents a string in the version item list, usually a qualifier.

represents a version list item. this class is used both for the global item list and for sub lists which start
with number in the version specification .",,,,"generic implementation of version comparison.
p features
ul
li mixing of code code dash and code . code dot separators, li
li transition between characters and digits also constitutes a separator
code 10alpha1 &gt 1, 0, alpha, 1 code li
li unlimited number of version components, li
li version components in the text can be digits or strings, li
li strings are checked for well known qualifiers and the qualifier ordering is used for version ordering.
well known qualifiers case insensitive are ul
li code alpha code or code a code li
li code beta code or code b code li
li code milestone code or code m code li
li code rc code or code cr code li
li code snapshot code li
li code the empty string code or code ga code or code final code li
li code sp code li
ul
unknown qualifiers are considered after known qualifiers, with lexical order always case insensitive ,
li
li a dash usually precedes a qualifier, and is always less important than something preceded with a dot. li
ul p",,code source of this file http grepcode.com file repo1.maven.org maven2 org.apache.maven maven artifact 31.1 org apache maven artifact versioning comparableversion.java modifications made on top of the source 1. changed package org.apache.maven.artifact.versioning to package org.apache.hadoop.util 2. removed author tags to clear hadoop author tag warning . @see a href https cwiki.apache.org confluence display mavenold versioning versioning on maven wiki a
1,ConfigurationException.java,exception to throw in case of a configuration problem.,exception to throw in case of a configuration problem.,,,,,,
1,ContainerFinishData.java,"the class contains the fields that can be determined when
code rmcontainer code finishes, and that need to be stored persistently.","the class contains the fields that can be determined when code rmcontainer code finishes, and that need to be stored persistently.",,"the class contains the fields that can be determined when code rmcontainer code finishes, and that need to be stored persistently.",,,,
1,CpuTimeTracker.java,utility for sampling and computing cpu usage.,utility for sampling and computing cpu usage,,utility for sampling and computing cpu usage,,,,
1,DBProfile.java,"user visible configs based rocksdb tuning page. documentation for options.
p
https github.com facebook rocksdb blob master include rocksdb options.h
p
most tuning parameters are based on this url.
p
https github.com facebook rocksdb wiki setup options and basic tuning",user visible configs based rocksdb tuning page.,,,,"documentation for options.
p
https github.com facebook rocksdb blob master include rocksdb options.h
p
most tuning parameters are based on this url.
p
https github.com facebook rocksdb wiki setup options and basic tuning",,"documentation for options.
p
https github.com facebook rocksdb blob master include rocksdb options.h
p
most tuning parameters are based on this url.
p
https github.com facebook rocksdb wiki setup options and basic tuning"
1,DefaultAnonymizingRumenSerializer.java,default rumen json serializer.,default rumen json serializer.,,,,,,
1,DelegatingSSLSocketFactory.java,"a @link sslsocketfactory that can delegate to various ssl implementations.
specifically, either openssl or jsse can be used. openssl offers better
performance than jsse and is made available via the
a href https github.com wildfly wildfly openssl wildlfy openssl a
library.

p
the factory has several different modes of operation
ul
li openssl uses the wildly openssl library to delegate to the
system installed openssl. if the wildfly openssl integration is not
properly setup, an exception is thrown. li
li default attempts to use the openssl mode, if it cannot load the
necessary libraries, it falls back to the default jsee mode. li
li default jsse delegates to the jsse implementation of ssl, but
it disables the gcm cipher when running on java 8. li
li default jsse with gcm delegates to the jsse implementation of
ssl with no modification to the list of enabled ciphers. li
ul
p
this should only be modified within the #initializedefaultfactory
default indicates ordered, preferred openssl, if failed to load then fall
back to default jsse.

p
default jsse is not truly the the default jsse implementation because
the gcm cipher is disabled when running on java 8. however, the name
was not changed in order to preserve backwards compatibility. instead,
a new mode called default jsse with gcm delegates to the default jsse
implementation with no changes to the list of enabled ciphers.
p",a @link sslsocketfactory that can delegate to various ssl implementations.,"specifically, either openssl or jsse can be used. openssl offers better
performance than jsse and is made available via the
a href https github.com wildfly wildfly openssl wildlfy openssl a
library.","p
default jsse is not truly the the default jsse implementation because
the gcm cipher is disabled when running on java 8. however, the name
was not changed in order to preserve backwards compatibility. instead,
a new mode called default jsse with gcm delegates to the default jsse
implementation with no changes to the list of enabled ciphers.
p",,"p
the factory has several different modes of operation
ul
li openssl uses the wildly openssl library to delegate to the
system installed openssl. if the wildfly openssl integration is not
properly setup, an exception is thrown. li
li default attempts to use the openssl mode, if it cannot load the
necessary libraries, it falls back to the default jsee mode. li
li default jsse delegates to the jsse implementation of ssl, but
it disables the gcm cipher when running on java 8. li
li default jsse with gcm delegates to the jsse implementation of
ssl with no modification to the list of enabled ciphers. li
ul
p
this should only be modified within the #initializedefaultfactory
default indicates ordered, preferred openssl, if failed to load then fall
back to default jsse.",,"a @link sslsocketfactory that can delegate to various ssl implementations.
openssl offers better
performance than jsse and is made available via the
a href https github.com wildfly wildfly openssl wildlfy openssl a
library."
1,DelegationTokenIdentifier.java,a delegation token identifier that is specific to hdfs.,a delegation token identifier that is specific to hdfs.,a delegation token identifier that is specific to hdfs.,,,,,
1,DeleteApplicationHomeSubClusterRequest.java,"the request to code federation state store code to delete the mapping of
home subcluster of a submitted application.",the request to code federation state store code to delete the mapping of home subcluster of a submitted application.,,,,,,
1,DFSConfigKeys.java,"this class contains constants for configuration keys and default values
used in hdfs.",this class contains constants for configuration keys and default values used in hdfs.,,this class contains constants for configuration keys and default values used in hdfs.,,,,
1,DfsServlet.java,a base class for the servlets in dfs.,a base class for the servlets in dfs,,,,,,
1,DiskBalancerCluster.java,"diskbalancercluster represents the nodes that we are working against.
p
please note
semantics of inclusionlist and exclusionlists.
p
if a non empty inclusionlist is specified then the diskbalancer assumes that
the user is only interested in processing that list of nodes. this node list
is checked against the exclusionlist and only the nodes in inclusionlist but
not in exclusionlist is processed.
p
if inclusionlist is empty, then we assume that all live nodes in the nodes is
to be processed by diskbalancer. in that case diskbalancer will avoid any
nodes specified in the exclusionlist but will process all nodes in the
cluster.
p
in other words, an empty inclusionlist is means all the nodes otherwise
only a given list is processed and exclusionlist is always honored.",diskbalancercluster represents the nodes that we are working against.,"please note
semantics of inclusionlist and exclusionlists.
p
if a non empty inclusionlist is specified then the diskbalancer assumes that
the user is only interested in processing that list of nodes. this node list
is checked against the exclusionlist and only the nodes in inclusionlist but
not in exclusionlist is processed.
p
if inclusionlist is empty, then we assume that all live nodes in the nodes is
to be processed by diskbalancer. in that case diskbalancer will avoid any
nodes specified in the exclusionlist but will process all nodes in the
cluster.
p
in other words, an empty inclusionlist is means all the nodes otherwise
only a given list is processed and exclusionlist is always honored.",,,,,
1,DistributedSchedulingAllocateRequest.java,"object used by the application master when distributed scheduling is enabled,
in order to forward the @link allocaterequest for guaranteed containers to
the resource manager, and to notify the resource manager about the allocation
of opportunistic containers through the distributed scheduler.","object used by the application master when distributed scheduling is enabled,","in order to forward the @link allocaterequest for guaranteed containers to the resource manager, and to notify the resource manager about the allocation of opportunistic containers through the distributed scheduler.",,,,,"in order to forward the @link allocaterequest for guaranteed containers to the resource manager, and to notify the resource manager about the allocation of opportunistic containers through the distributed scheduler."
1,DockerKillCommand.java,encapsulates the docker kill command and its command line arguments.,encapsulates the docker kill command and its command line arguments.,,,,,,
1,EditLogTailer.java,"editlogtailer represents a thread which periodically reads from edits
journals and applies the transactions contained within to a given
fsnamesystem.

the thread which does the actual work of tailing edits journals and
applying the transactions to the fsns.

manage the active namenode proxy . this cannot just be the a single proxy since we could
failover across a number of namenodes, rather than just between an active and a standby.
p
we lazily get a proxy to one of the configured namenodes and attempt to make the request
against it. if it doesn t succeed, either because the proxy failed to be created or the request
failed, we try the next nn in the list. we try this up to the configuration maximum number of
retries before throwing up our hands. a working proxy is retained across attempts since we
expect the active namenode to switch rarely.
p
this mechanism is b very bad b for cases where we care about being i fast i it just
blindly goes and tries namenodes.","editlogtailer represents a thread which periodically reads from edits
journals and applies the transactions contained within to a given
fsnamesystem.","the thread which does the actual work of tailing edits journals and
applying the transactions to the fsns.","manage the active namenode proxy . this cannot just be the a single proxy since we could
failover across a number of namenodes, rather than just between an active and a standby.
p
we lazily get a proxy to one of the configured namenodes and attempt to make the request
against it. if it doesn t succeed, either because the proxy failed to be created or the request
failed, we try the next nn in the list. we try this up to the configuration maximum number of
retries before throwing up our hands. a working proxy is retained across attempts since we
expect the active namenode to switch rarely.
p
this mechanism is b very bad b for cases where we care about being i fast i it just
blindly goes and tries namenodes.",,,,
1,ErasureCodingPolicyManager.java,"this manages erasure coding policies predefined and activated in the system.
it loads customized policies and syncs with persisted ones in
namenode image.

this class is instantiated by the fsnamesystem.",this manages erasure coding policies predefined and activated in the system,"it loads customized policies and syncs with persisted ones in
namenode image.",,,this class is instantiated by the fsnamesystem.,,this class is instantiated by the fsnamesystem.
1,EventWatcher.java,"event watcher the re send a message after timeout.
p
event watcher will send the tracked payload event after a timeout period
unless a confirmation from the original event completion event is arrived.

@param timeout payload the type of the events which are tracked.
@param completion payload the type of event which could cancel the
tracking.",event watcher the re send a message after timeout.,,"event watcher will send the tracked payload event after a timeout period
unless a confirmation from the original event completion event is arrived.",,,,"@param timeout payload the type of the events which are tracked.
@param completion payload the type of event which could cancel the
tracking."
1,Expression.java,"interface describing an expression to be used in the
@link org.apache.hadoop.fs.shell.find.find command.",interface describing an expression to be used in the @link org.apache.hadoop.fs.shell.find.find command.,,to be used in the @link org.apache.hadoop.fs.shell.find.find command.,,,,to be used in the @link org.apache.hadoop.fs.shell.find.find command.
1,FairOrderingPolicy.java,"an orderingpolicy which orders schedulableentities for fairness see
fairscheduler
fairsharepolicy , generally, processes with lesser usage are lesser. if
sizedbasedweight is set to true then an application with high demand
may be prioritized ahead of an application with less usage. this
is to offset the tendency to favor small apps, which could result in
starvation for large apps if many small ones enter and leave the queue
continuously optional, default false","an orderingpolicy which orders schedulableentities for fairness see
fairscheduler
fairsharepolicy , generally, processes with lesser usage are lesser",,,,"if
sizedbasedweight is set to true then an application with high demand
may be prioritized ahead of an application with less usage. this
is to offset the tendency to favor small apps, which could result in
starvation for large apps if many small ones enter and leave the queue
continuously optional, default false",,"an orderingpolicy which orders schedulableentities for fairness see
fairscheduler
fairsharepolicy , generally, processes with lesser usage are lesser"
1,FederationPolicyException.java,generic policy exception.,generic policy exception,,,,,,
1,FederationProtocolPBTranslator.java,"helper class for setting getting data elements in an object backed by a
protobuf implementation.",helper class for setting getting data elements in an object backed by a protobuf implementation.,,for setting getting data elements in an object backed by a protobuf implementation.,,,,
1,FederationStateStoreInvalidInputException.java,"exception thrown by the @code federationmembershipstatestoreinputvalidator ,
@code federationapplicationhomesubclusterstoreinputvalidator ,
@code federationpolicystoreinputvalidator if the input is invalid.","exception thrown by the @code federationmembershipstatestoreinputvalidator ,",,,,,,"exception thrown by the @code federationmembershipstatestoreinputvalidator , @code federationapplicationhomesubclusterstoreinputvalidator , @code federationpolicystoreinputvalidator if the input is invalid."
1,FileSystemApplicationHistoryStore.java,"file system implementation of @link applicationhistorystore . in this
implementation, one application will have just one file in the file system,
which contains all the history data of one application, and its attempts and
containers. @link #applicationstarted applicationstartdata is supposed to
be invoked first when writing any history data of one application and it will
open a file, while @link #applicationfinished applicationfinishdata is
supposed to be last writing operation and will close the file.",file system implementation of @link applicationhistorystore .,"in this implementation, one application will have just one file in the file system, which contains all the history data of one application, and its attempts and containers. @link #applicationstarted applicationstartdata is supposed to
be invoked first when writing any history data of one application and it will
open a file, while @link #applicationfinished applicationfinishdata is
supposed to be last writing operation and will close the file.",,,,,"file system implementation of @link applicationhistorystore . @link #applicationstarted applicationstartdata is supposed to
be invoked first when writing any history data of one application and it will
open a file, while @link #applicationfinished applicationfinishdata is
supposed to be last writing operation and will close the file."
1,FsConstants.java,filesystem related constants.,filesystem related constants,,,,,,
1,GetApplicationHomeSubClusterResponsePBImpl.java,"protocol buffer based implementation of
@link getapplicationhomesubclusterresponse .",protocol buffer based implementation of @link getapplicationhomesubclusterresponse .,,,,,,protocol buffer based implementation of @link getapplicationhomesubclusterresponse .
1,GetNamespaceInfoResponse.java,api response for listing hdfs namespaces present in the state store.,api response for listing hdfs namespaces present in the state store.,,,,,,
1,GetNodesToAttributesResponse.java,"p
the response sent by the code resourcemanager code to a client requesting
nodes to attributes mapping.
p

@see applicationclientprotocol#getnodestoattributes
getnodestoattributesrequest",the response sent by the code resourcemanager code to a client requesting nodes to attributes mapping.,,,,,,@see applicationclientprotocol#getnodestoattributes getnodestoattributesrequest
1,GetSafeModeRequestPBImpl.java,"protobuf implementation of the state store api object
getsafemoderequest.",protobuf implementation of the state store api object getsafemoderequest.,,,,,,
1,GetSubClusterPolicyConfigurationRequestPBImpl.java,"protocol buffer based implementation of
@link getsubclusterpolicyconfigurationrequest .",protocol buffer based implementation of @link getsubclusterpolicyconfigurationrequest .,,,,,,protocol buffer based implementation of @link getsubclusterpolicyconfigurationrequest .
1,HadoopIllegalArgumentException.java,"indicates that a method has been passed illegal or invalid argument. this
exception is thrown instead of illegalargumentexception to differentiate the
exception thrown in hadoop implementation from the one thrown in jdk.",indicates that a method has been passed illegal or invalid argument.,this exception is thrown instead of illegalargumentexception to differentiate the exception thrown in hadoop implementation from the one thrown in jdk.,,,,,
1,HashResolver.java,order the destinations based on consistent hashing.,order the destinations based on consistent hashing.,,,,,,
1,HttpHeaderConfigurations.java,responsible to keep all abfs http headers here.,,responsible to keep all abfs http headers here.,,,,,
1,IDataLoader.java,an idataloader loads data on demand,an idataloader loads data on demand,,,,,,
1,InconsistentS3ClientFactory.java,"s3 client factory used for testing with eventual consistency fault injection.
this client is for testing i only i it is in the production
@code hadoop aws module to enable integration tests to use this
just by editing the hadoop configuration used to bring up the client.",s3 client factory used for testing with eventual consistency fault injection.,,,,"this client is for testing i only i it is in the production
@code hadoop aws module to enable integration tests to use this
just by editing the hadoop configuration used to bring up the client.",,
1,InfoKeyHandler.java,executes info object.,executes info object,,,,,,
1,InvalidContainerRequestException.java,"thrown when an arguments are combined to construct a
code amrmclient.containerrequest code in an invalid way.",thrown when an arguments are combined to construct a code amrmclient.containerrequest code in an invalid way.,,,,,,
1,ITestAbfsReadWriteAndSeek.java,"test read, write and seek.
uses package private methods in abfsconfiguration, which is why it is in
this package.","test read, write and seek.",,"uses package private methods in abfsconfiguration, which is why it is in this package.",,,,
1,ITestAzureNativeContractSeek.java,contract test.,contract test,,,,,,
1,ITestCommitOperations.java,"test the low level binding of the s3a fs to the magic commit mechanism,
and handling of the commit operations.
this is done with an inconsistent client.","test the low level binding of the s3a fs to the magic commit mechanism, and handling of the commit operations.",,,,this is done with an inconsistent client.,,
1,ITestListPerformance.java,test list performance.,test list performance,,,,,,
1,ITestS3Select.java,"test the s3 select feature with some basic sql commands.
executed if the destination store declares its support for the feature.",test the s3 select feature with some basic sql commands.,executed if the destination store declares its support for the feature.,,,,,
1,ITestS3SelectCLI.java,"test the s3 select cli through some operations against landsat
and files generated from it.",test the s3 select cli through some operations against landsat and files generated from it.,,,,,,
1,KerberosDelegationTokenAuthenticator.java,"the code kerberosdelegationtokenauthenticator code provides support for
kerberos spnego authentication mechanism and support for hadoop delegation
token operations.
p
it falls back to the @link pseudodelegationtokenauthenticator if the http
endpoint does not trigger a spnego authentication","the code kerberosdelegationtokenauthenticator code provides support for
kerberos spnego authentication mechanism and support for hadoop delegation
token operations.","it falls back to the @link pseudodelegationtokenauthenticator if the http
endpoint does not trigger a spnego authentication",,,,,"it falls back to the @link pseudodelegationtokenauthenticator if the http
endpoint does not trigger a spnego authentication"
1,LocalizationStatusPBImpl.java,pb impl of @link localizationstatus .,pb impl of @link localizationstatus .,,,,,,pb impl of @link localizationstatus .
1,LocatedFileStatus.java,this class defines a filestatus that includes a file s block locations.,this class defines a filestatus that includes a file s block locations,,,,,,
1,LoggedTask.java,"a @link loggedtask represents a hadoop task that is part of a hadoop job.
it knows about the pssibly empty sequence of attempts, its i o footprint,
and its runtime.
all of the public methods are simply accessors for the instance variables we
want to write out in the json files.",a @link loggedtask represents a hadoop task that is part of a hadoop job.,"it knows about the pssibly empty sequence of attempts, its i o footprint,
and its runtime.",,,"all of the public methods are simply accessors for the instance variables we
want to write out in the json files.",,a @link loggedtask represents a hadoop task that is part of a hadoop job.
1,LogParserUtil.java,common utility functions for @link logparser .,common utility functions for @link logparser,,,,,,common utility functions for @link logparser
1,LogWebService.java,support only atsv2 client only.,,,,support only atsv2 client only,,,
1,LRUCacheHashMap.java,lru cache with a configurable maximum cache size and access order.,lru cache with a configurable maximum cache size and access order.,lru cache with a configurable maximum cache size and access order.,,,,,
1,MapContext.java,"the context that is given to the @link mapper .
@param keyin the key input type to the mapper
@param valuein the value input type to the mapper
@param keyout the key output type from the mapper
@param valueout the value output type from the mapper",the context that is given to the @link mapper .,,,,"@param keyin the key input type to the mapper
@param valuein the value input type to the mapper
@param keyout the key output type from the mapper
@param valueout the value output type from the mapper",,the context that is given to the @link mapper . @param keyin the key input type to the mapper @param valuein the value input type to the mapper @param keyout the key output type from the mapper @param valueout the value output type from the mapper
1,MetaBlockAlreadyExists.java,exception meta block with the same name already exists.,exception meta block with the same name already exists.,,,,,,
1,MetricsCache.java,"a metrics cache for sinks that don t support sparse updates.

cached record",a metrics cache for sinks that don t support sparse updates. context of the queues in scheduler.,cached record,,,,,
1,NativeBatchProcessor.java,"used to create channel, transfer data and command between java and native",,,"used to create channel, transfer data and command between java and native",,,,
1,NativeSingleLineParser.java,"this sample parser will parse the sample log and extract the resource
skyline.
p the expected log format is normalizedjobname numinstances submittime
starttime endtime jobinstancename memusage coreusage","this sample parser will parse the sample log and extract the resource
skyline.","p the expected log format is normalizedjobname numinstances submittime
starttime endtime jobinstancename memusage coreusage",,,,,
1,Nfs3Metrics.java,"this class is for maintaining the various nfs gateway activity statistics and
publishing them through the metrics interfaces.",this class is for maintaining the various nfs gateway activity statistics and publishing them through the metrics interfaces.,,,,,,
1,Nfs3Status.java,success or error status is reported in nfs3 responses.,success or error status is reported in nfs3 responses.,,,,,,
1,Node2ObjectsMap.java,"this data structure maintains the list of containers that is on a datanode.
this information is built from the dn container reports.",this data structure maintains the list of containers that is on a datanode.,this information is built from the dn container reports.,,,,,
1,NodeUpdateType.java,"p taxonomy of the code nodestate code that a
code node code might transition into. p",p taxonomy of the code nodestate code that a code node code might transition into. p,p taxonomy of the code nodestate code that a code node code might transition into. p,,,,,
1,NullOutputFormat.java,consume all outputs and put them in dev null.,consume all outputs and put them in dev null.,consume all outputs and put them in dev null.,,,,,
1,OMNodeDetails.java,"this class stores om node details.

builder class for omnodedetails.","this class stores om node details.

builder class for omnodedetails.",,,,,,builder class for omnodedetails.
1,OpportunisticContainersStatusPBImpl.java,protocol buffer implementation of opportunisticcontainersstatus.,protocol buffer implementation of opportunisticcontainersstatus,,,,,,
1,OzoneObj.java,"class representing an unique ozone object.

ozone objects supported for acl.

ozone objects supported for acl.",class representing an unique ozone object,ozone objects supported for acl.,,,,,
1,Parser.java,a class for parsing outputs,a class for parsing outputs,,,,,,
1,PartialOutputCommitter.java,"interface for an @link org.apache.hadoop.mapreduce.outputcommitter
implementing partial commit of task output, as during preemption.","interface for an @link org.apache.hadoop.mapreduce.outputcommitter implementing partial commit of task output, as during preemption.",,,,,,interface for an @link org.apache.hadoop.mapreduce.outputcommitter
1,PartitionResourcesInfo.java,this class represents queue user resource usage info for a given partition,this class represents queue user resource usage info for a given partition,,this class represents queue user resource usage info for a given partition,,,,
1,PlanningQuotaException.java,"this exception is thrown if the user quota is exceed while accepting or
updating a reservation.",this exception is thrown if the user quota is exceed while accepting or updating a reservation.,,,,,,
1,ProcessIdFileReader.java,helper functionality to read the pid from a file.,helper functionality to read the pid from a file.,,,,,,
