,comment_sentence,partition,category
954,spartacanvas,0,Intent
955,i represent a concrete implementation of unspecified measurement mode.,0,Intent
956,famixannotationtypegroup is a moosegroup containing only famix enities of type famixannotationtype.,0,Intent
957,i represent a font face source and know how to retrieve font contents from it,0,Intent
958,a rtbox is a rectangular box.,0,Intent
959,i represent a single line of a flow layout.,0,Intent
960,defines an embedded object.,0,Intent
961,"famixpackage represents a package in the source language, meaning that it provides a means to group entities without any baring on lexical scoping.",0,Intent
962,mooseentity is an abstract entity.,0,Intent
963,description,0,Intent
964,https github^com syrel sparta raw master images spartacanvas 05 blur^png label blur,0,Intent
965,represents an invocation which function is contained in a pointer.,0,Intent
966,i am a test resource building a famixstmodel with some of kgb packages used for metrics tests.,0,Intent
967,it is stepper for adams moulton method of order 3.,0,Intent
968,i represent an abstract key combination which is the most important part of blshortcut .,0,Intent
969,i am a concrete visibility type hidden .,0,Intent
970,i am the abstract root class for effects.,0,Intent
971,i am a cache that reaps all elements at once instead of incrementally.,0,Intent
972,a wadevelopment is a collection of convenience methods for dealing with seaside development in squeak.,0,Intent
973,i am a visitor specialized in visiting books and testing their code.,0,Intent
974,i am a warning for the parse of a pillar file.,0,Intent
975,i am sent by snippet widget looks when they request to receive a snippet model from the widget model,0,Intent
976,i am a data source of the collection of all classes in the image,0,Intent
977,i am the bloc main loop.,0,Intent
978,a rtsvgabstractline refers to the common interface for both regular svg lines and bezier lines as paths .,0,Intent
979,"i am a helper trait that defines basic font properties such as weight, style and stretch",0,Intent
980,moosecustomtask is a task perform some computation specified as a block.,0,Intent
981,the moosevisuallocator is a simple template that offers a list of classes on the left hand side and some presentation on the right hand side.,0,Intent
982,i implement line search algorithm to find the minimum of a function g x 0 on the interval 0 x 1.,0,Intent
983,i am a triangular arrow head.,0,Intent
984,"i am a composite interaction model responsible for managing widget state such as pressed, hovered, focused.",0,Intent
985,i represent a property of the object currently been imported while it is not yet imported.,0,Intent
986,this class is part of hapax.,0,Intent
987,a rtsvgpopup is any kind of popup born from a certain element.,0,Intent
988,i am the super class of all the roassal examples.,0,Intent
989,i am an abstract root class for all plugins.,0,Intent
990,i am a scriptable toogle group to display a uniform collection of selectable values.,0,Intent
991,i am a simple arrow like arrowhead.,0,Intent
992,a statetime class is a generalization of point.,0,Intent
993,smallest enclosing circle of circles,0,Intent
